BldgType,SalePrice
1Fam,755000.0
1Fam,745000.0
1Fam,625000.0
1Fam,611657.0
1Fam,582933.0
1Fam,556581.0
1Fam,555000.0
1Fam,538000.0
1Fam,501837.0
1Fam,485000.0
1Fam,475000.0
1Fam,466500.0
1Fam,465000.0
1Fam,451950.0
1Fam,446261.0
1Fam,440000.0
1Fam,438780.0
1Fam,437154.0
1Fam,430000.0
1Fam,426000.0
1Fam,424870.0
1Fam,423000.0
1Fam,415298.0
1Fam,412500.0
1Fam,410000.0
1Fam,403000.0
1Fam,402861.0
1Fam,402000.0
1Fam,395192.0
1Fam,395000.0
1Fam,394617.0
1Fam,394432.0
TwnhsE,392500.0
1Fam,392000.0
1Fam,386250.0
1Fam,385000.0
1Fam,385000.0
1Fam,383970.0
1Fam,381000.0
1Fam,380000.0
1Fam,378500.0
1Fam,377500.0
1Fam,377426.0
1Fam,375000.0
1Fam,374000.0
1Fam,372500.0
1Fam,372402.0
1Fam,370878.0
1Fam,369900.0
TwnhsE,367294.0
1Fam,361919.0
1Fam,360000.0
1Fam,359100.0
1Fam,354000.0
1Fam,350000.0
1Fam,350000.0
1Fam,348000.0
1Fam,345000.0
1Fam,345000.0
1Fam,342643.0
1Fam,341000.0
1Fam,340000.0
1Fam,340000.0
1Fam,339750.0
1Fam,337500.0
1Fam,337000.0
1Fam,336000.0
1Fam,335000.0
1Fam,335000.0
1Fam,335000.0
1Fam,333168.0
TwnhsE,328900.0
1Fam,328000.0
1Fam,326000.0
1Fam,325624.0
1Fam,325300.0
1Fam,325000.0
1Fam,325000.0
1Fam,325000.0
1Fam,325000.0
TwnhsE,324000.0
1Fam,320000.0
1Fam,320000.0
1Fam,320000.0
1Fam,320000.0
TwnhsE,319900.0
1Fam,319000.0
TwnhsE,318061.0
1Fam,318000.0
1Fam,318000.0
1Fam,317000.0
1Fam,316600.0
1Fam,315750.0
1Fam,315500.0
1Fam,315000.0
1Fam,315000.0
1Fam,315000.0
1Fam,315000.0
1Fam,314813.0
1Fam,313000.0
1Fam,312500.0
1Fam,311872.0
1Fam,311500.0
1Fam,310000.0
1Fam,310000.0
1Fam,309000.0
1Fam,307000.0
1Fam,306000.0
1Fam,305900.0
1Fam,305000.0
1Fam,303477.0
1Fam,302000.0
1Fam,302000.0
1Fam,301500.0
1Fam,301000.0
1Fam,299800.0
1Fam,297000.0
1Fam,295493.0
1Fam,295000.0
1Fam,294000.0
1Fam,293077.0
1Fam,290000.0
1Fam,290000.0
1Fam,290000.0
1Fam,290000.0
1Fam,290000.0
1Fam,289000.0
1Fam,287090.0
1Fam,287000.0
1Fam,287000.0
TwnhsE,286000.0
1Fam,285000.0
