BsmtExposure,SalePrice
Gd,755000.0
Av,745000.0
Gd,625000.0
Gd,611657.0
Gd,582933.0
Av,556581.0
Gd,555000.0
Gd,538000.0
No,501837.0
No,485000.0
Mn,475000.0
Gd,466500.0
Gd,465000.0
Gd,451950.0
Av,446261.0
Gd,440000.0
Gd,438780.0
No,437154.0
No,430000.0
Av,426000.0
Gd,424870.0
Mn,423000.0
Gd,415298.0
Av,412500.0
Av,410000.0
No,403000.0
No,402861.0
No,402000.0
Av,395192.0
Av,395000.0
Av,394617.0
Av,394432.0
Gd,392500.0
Av,392000.0
Gd,386250.0
Gd,385000.0
Av,385000.0
Av,383970.0
Mn,381000.0
Av,380000.0
Gd,378500.0
Gd,377500.0
Gd,377426.0
Gd,375000.0
Gd,374000.0
Mn,372500.0
Gd,372402.0
Mn,370878.0
Gd,369900.0
No,367294.0
No,361919.0
Gd,360000.0
Mn,359100.0
Av,354000.0
Gd,350000.0
No,350000.0
No,348000.0
No,345000.0
Gd,345000.0
Av,342643.0
Gd,341000.0
No,340000.0
Mn,340000.0
No,339750.0
Gd,337500.0
Mn,337000.0
No,336000.0
Gd,335000.0
Av,335000.0
Av,335000.0
No,333168.0
Av,328900.0
Gd,328000.0
Gd,326000.0
No,325624.0
Av,325300.0
No,325000.0
No,325000.0
Av,325000.0
No,325000.0
Gd,324000.0
Mn,320000.0
Mn,320000.0
No,320000.0
No,320000.0
No,319900.0
Gd,319000.0
No,318061.0
No,318000.0
No,318000.0
Av,317000.0
Gd,316600.0
No,315750.0
Gd,315500.0
No,315000.0
No,315000.0
Av,315000.0
Av,315000.0
Av,314813.0
Mn,313000.0
Gd,312500.0
No,311872.0
No,311500.0
No,310000.0
Av,310000.0
Av,309000.0
Av,307000.0
No,306000.0
No,305900.0
Gd,305000.0
Av,303477.0
Gd,302000.0
No,302000.0
Gd,301500.0
Gd,301000.0
No,299800.0
Gd,297000.0
Gd,295493.0
No,295000.0
Gd,294000.0
Gd,293077.0
No,290000.0
No,290000.0
Av,290000.0
Mn,290000.0
No,290000.0
No,289000.0
No,287090.0
Av,287000.0
No,287000.0
Av,286000.0
Av,285000.0
No,285000.0
No,285000.0
No,284000.0
No,284000.0
Gd,283463.0
Gd,282922.0
Gd,281213.0
Mn,281000.0
Av,280000.0
No,280000.0
Gd,280000.0
Mn,280000.0
Av,279500.0
No,278000.0
No,278000.0
No,277500.0
Gd,277000.0
Gd,277000.0
No,276000.0
Mn,275500.0
Gd,275000.0
Av,275000.0
Gd,275000.0
Gd,275000.0
Gd,275000.0
Av,274970.0
Av,274900.0
No,274725.0
Av,274300.0
Gd,274000.0
Av,272000.0
No,272000.0
Mn,271900.0
No,271000.0
No,271000.0
Av,270000.0
Av,270000.0
Av,270000.0
Av,269790.0
No,269500.0
No,268000.0
Gd,268000.0
No,267000.0
No,266500.0
Mn,266000.0
No,266000.0
No,265979.0
Av,265900.0
No,265000.0
Av,264561.0
No,264132.0
No,263435.0
No,263000.0
Av,262500.0
No,262500.0
No,262280.0
No,262000.0
Av,261500.0
No,260400.0
No,260000.0
Av,260000.0
No,260000.0
Gd,260000.0
Gd,260000.0
Av,260000.0
No,259500.0
Av,259000.0
No,258000.0
No,257500.0
No,257000.0
No,256300.0
Gd,256000.0
No,256000.0
Mn,255900.0
Av,255500.0
No,255000.0
Mn,255000.0
No,254900.0
No,254000.0
No,253293.0
Mn,253000.0
No,252678.0
Mn,252000.0
Av,251000.0
No,250580.0
Av,250000.0
No,250000.0
No,250000.0
Mn,250000.0
No,250000.0
No,250000.0
No,250000.0
No,250000.0
Av,249700.0
Av,248900.0
Av,248328.0
No,248000.0
No,248000.0
Av,246578.0
No,245500.0
Av,245350.0
No,245000.0
No,244600.0
Mn,244400.0
Gd,244000.0
No,244000.0
No,244000.0
Av,243000.0
No,242000.0
Gd,242000.0
Av,241500.0
Gd,241500.0
No,241000.0
Av,240000.0
No,240000.0
No,240000.0
No,240000.0
Mn,240000.0
No,240000.0
No,239900.0
Mn,239799.0
No,239686.0
No,239500.0
No,239000.0
No,239000.0
No,239000.0
No,239000.0
No,239000.0
Gd,239000.0
Mn,238000.0
Mn,237500.0
No,237000.0
No,237000.0
No,236500.0
Av,236500.0
No,236000.0
No,236000.0
No,235128.0
Gd,235000.0
No,235000.0
Gd,235000.0
No,235000.0
No,235000.0
No,235000.0
Av,235000.0
No,234000.0
Gd,234000.0
Av,233230.0
No,233170.0
No,233000.0
No,232600.0
No,232000.0
Av,232000.0
Av,232000.0
No,231500.0
No,231500.0
No,230500.0
No,230000.0
Mn,230000.0
No,230000.0
No,230000.0
No,230000.0
No,230000.0
No,230000.0
No,230000.0
Mn,229456.0
No,229000.0
Gd,228950.0
Av,228500.0
No,228500.0
No,228000.0
No,228000.0
No,227875.0
No,227680.0
No,227000.0
No,227000.0
Av,227000.0
No,226700.0
Av,226000.0
No,226000.0
No,226000.0
No,225000.0
No,225000.0
No,225000.0
Av,225000.0
Gd,225000.0
No,225000.0
No,224900.0
No,224900.0
Av,224500.0
Mn,224000.0
No,224000.0
Mn,223500.0
Gd,223500.0
Av,223000.0
No,222500.0
Av,222500.0
Av,222000.0
No,222000.0
No,222000.0
Av,221500.0
Mn,221000.0
No,221000.0
No,220000.0
Mn,220000.0
No,220000.0
Mn,220000.0
Mn,220000.0
No,219500.0
No,219500.0
No,219500.0
Av,219210.0
Gd,218000.0
Mn,217500.0
Mn,217000.0
Gd,217000.0
No,216837.0
No,216500.0
No,216000.0
Mn,215200.0
Gd,215000.0
No,215000.0
No,215000.0
No,215000.0
Gd,215000.0
Av,215000.0
Gd,215000.0
No,215000.0
No,214900.0
No,214500.0
Av,214000.0
Av,214000.0
No,214000.0
No,214000.0
Mn,214000.0
Av,213500.0
Mn,213500.0
Gd,213490.0
No,213250.0
Av,213000.0
No,213000.0
No,213000.0
Av,212900.0
Av,212000.0
Av,212000.0
Av,212000.0
No,211000.0
Mn,211000.0
Mn,210000.0
No,210000.0
No,210000.0
No,210000.0
No,210000.0
Mn,209500.0
Gd,208900.0
No,208900.0
No,208500.0
No,208300.0
Gd,207500.0
No,207500.0
No,207500.0
Mn,207500.0
No,207500.0
Av,207000.0
No,207000.0
Mn,206900.0
Gd,206300.0
Av,206000.0
No,205950.0
Mn,205000.0
No,205000.0
No,205000.0
No,205000.0
No,205000.0
No,205000.0
Mn,204900.0
No,204750.0
Gd,204000.0
No,204000.0
Gd,203000.0
No,203000.0
No,202900.0
No,202665.0
Mn,202500.0
Mn,202500.0
No,202500.0
Gd,201800.0
No,201000.0
No,201000.0
Av,201000.0
No,200624.0
No,200500.0
No,200500.0
Av,200141.0
No,200100.0
Mn,200000.0
No,200000.0
No,200000.0
No,200000.0
Gd,200000.0
Av,200000.0
No,200000.0
No,200000.0
No,199900.0
No,199900.0
No,198900.0
NA,198500.0
No,197900.0
Av,197900.0
Av,197900.0
No,197500.0
No,197500.0
No,197000.0
No,197000.0
No,197000.0
No,197000.0
No,196500.0
No,196500.0
Mn,196000.0
Av,196000.0
Gd,196000.0
No,195400.0
No,195000.0
No,195000.0
No,195000.0
Av,194700.0
No,194500.0
Av,194500.0
No,194500.0
Av,194201.0
Av,194000.0
Av,194000.0
Gd,194000.0
Av,193879.0
No,193500.0
No,193500.0
No,193000.0
No,193000.0
No,193000.0
Av,192500.0
NA,192500.0
Av,192140.0
Av,192000.0
No,192000.0
Gd,192000.0
No,192000.0
No,192000.0
No,191000.0
No,191000.0
No,191000.0
No,191000.0
No,190000.0
No,190000.0
No,190000.0
Gd,190000.0
Mn,190000.0
No,190000.0
No,190000.0
No,190000.0
Av,190000.0
No,190000.0
Gd,190000.0
Av,190000.0
No,190000.0
No,189950.0
Mn,189000.0
Av,189000.0
No,189000.0
No,189000.0
No,189000.0
No,189000.0
No,188700.0
No,188500.0
No,188000.0
Av,188000.0
No,188000.0
No,187750.0
Av,187500.0
Av,187500.0
Gd,187500.0
Mn,187500.0
Av,187500.0
No,187500.0
No,187100.0
No,187000.0
No,187000.0
Gd,187000.0
Gd,186700.0
No,186500.0
No,186500.0
Mn,186000.0
No,185900.0
Av,185850.0
No,185750.0
Av,185500.0
No,185000.0
No,185000.0
Av,185000.0
No,185000.0
Mn,185000.0
Gd,185000.0
Mn,185000.0
No,185000.0
No,185000.0
No,185000.0
No,184900.0
Gd,184750.0
No,184100.0
No,184000.0
No,184000.0
No,184000.0
Av,184000.0
No,183900.0
No,183500.0
No,183200.0
No,183000.0
No,182900.0
No,182000.0
No,181900.0
Gd,181500.0
Av,181134.0
No,181000.0
No,181000.0
No,181000.0
No,181000.0
No,181000.0
No,181000.0
No,181000.0
No,180500.0
No,180500.0
No,180500.0
Av,180500.0
Gd,180000.0
No,180000.0
Gd,180000.0
No,180000.0
No,180000.0
No,180000.0
No,180000.0
No,180000.0
No,180000.0
No,180000.0
Av,179900.0
No,179900.0
Mn,179900.0
Gd,179900.0
No,179900.0
Av,179665.0
Av,179600.0
Av,179540.0
No,179500.0
No,179400.0
No,179200.0
No,179200.0
No,179000.0
Gd,179000.0
No,179000.0
No,178900.0
No,178740.0
Av,178400.0
No,178000.0
No,178000.0
Av,178000.0
No,178000.0
No,178000.0
No,178000.0
No,178000.0
No,177500.0
No,177500.0
No,177500.0
Av,177000.0
No,177000.0
No,177000.0
Av,177000.0
No,177000.0
No,176500.0
No,176500.0
Av,176485.0
No,176432.0
No,176000.0
Gd,176000.0
