BsmtQual,SalePrice
Ex,755000.0
Ex,745000.0
Ex,625000.0
Ex,611657.0
Ex,582933.0
Ex,556581.0
Ex,555000.0
Gd,538000.0
Ex,501837.0
Ex,485000.0
TA,475000.0
Ex,466500.0
Ex,465000.0
Ex,451950.0
Ex,446261.0
Ex,440000.0
Ex,438780.0
Ex,437154.0
Gd,430000.0
Ex,426000.0
Ex,424870.0
Ex,423000.0
Ex,415298.0
Ex,412500.0
Gd,410000.0
Gd,403000.0
Ex,402861.0
Gd,402000.0
Ex,395192.0
Gd,395000.0
Ex,394617.0
Ex,394432.0
Ex,392500.0
Gd,392000.0
Ex,386250.0
Ex,385000.0
Ex,385000.0
Ex,383970.0
TA,381000.0
Gd,380000.0
Ex,378500.0
Ex,377500.0
Ex,377426.0
Gd,375000.0
Ex,374000.0
Ex,372500.0
Ex,372402.0
Ex,370878.0
Ex,369900.0
Ex,367294.0
Ex,361919.0
Ex,360000.0
Gd,359100.0
Ex,354000.0
Gd,350000.0
Ex,350000.0
Gd,348000.0
Ex,345000.0
Gd,345000.0
Ex,342643.0
Gd,341000.0
Gd,340000.0
Gd,340000.0
Ex,339750.0
Ex,337500.0
Gd,337000.0
Gd,336000.0
Gd,335000.0
Ex,335000.0
Gd,335000.0
Gd,333168.0
Ex,328900.0
Ex,328000.0
Ex,326000.0
Ex,325624.0
Ex,325300.0
Gd,325000.0
TA,325000.0
Ex,325000.0
Ex,325000.0
Gd,324000.0
Gd,320000.0
Gd,320000.0
Ex,320000.0
Ex,320000.0
Ex,319900.0
Gd,319000.0
Ex,318061.0
Ex,318000.0
Ex,318000.0
Ex,317000.0
Gd,316600.0
Gd,315750.0
Ex,315500.0
Gd,315000.0
Gd,315000.0
Ex,315000.0
Ex,315000.0
Ex,314813.0
Ex,313000.0
Ex,312500.0
Ex,311872.0
TA,311500.0
Gd,310000.0
Ex,310000.0
Ex,309000.0
Ex,307000.0
Ex,306000.0
Gd,305900.0
Gd,305000.0
Gd,303477.0
Gd,302000.0
Ex,302000.0
Gd,301500.0
TA,301000.0
TA,299800.0
Ex,297000.0
Ex,295493.0
TA,295000.0
TA,294000.0
Gd,293077.0
Gd,290000.0
Gd,290000.0
Gd,290000.0
Ex,290000.0
Gd,290000.0
TA,289000.0
Gd,287090.0
Gd,287000.0
Gd,287000.0
Ex,286000.0
Gd,285000.0
Gd,285000.0
Gd,285000.0
Gd,284000.0
Gd,284000.0
Ex,283463.0
Gd,282922.0
Gd,281213.0
Gd,281000.0
Gd,280000.0
Ex,280000.0
Gd,280000.0
Ex,280000.0
Gd,279500.0
Gd,278000.0
Gd,278000.0
Ex,277500.0
Gd,277000.0
Gd,277000.0
Ex,276000.0
Gd,275500.0
Gd,275000.0
Gd,275000.0
Gd,275000.0
Gd,275000.0
Ex,275000.0
Gd,274970.0
Ex,274900.0
Ex,274725.0
Gd,274300.0
Ex,274000.0
Gd,272000.0
Gd,272000.0
Gd,271900.0
Gd,271000.0
Gd,271000.0
Gd,270000.0
Gd,270000.0
Gd,270000.0
Gd,269790.0
Ex,269500.0
Gd,268000.0
TA,268000.0
Gd,267000.0
TA,266500.0
Gd,266000.0
Ex,266000.0
TA,265979.0
Gd,265900.0
Gd,265000.0
Gd,264561.0
Gd,264132.0
Gd,263435.0
Gd,263000.0
Gd,262500.0
TA,262500.0
Gd,262280.0
Gd,262000.0
Gd,261500.0
Gd,260400.0
Gd,260000.0
Gd,260000.0
Gd,260000.0
Gd,260000.0
Gd,260000.0
Ex,260000.0
TA,259500.0
Gd,259000.0
Gd,258000.0
TA,257500.0
Gd,257000.0
Gd,256300.0
Gd,256000.0
Gd,256000.0
Gd,255900.0
Ex,255500.0
Gd,255000.0
Gd,255000.0
Gd,254900.0
Gd,254000.0
Ex,253293.0
Gd,253000.0
Gd,252678.0
Gd,252000.0
Gd,251000.0
Ex,250580.0
Gd,250000.0
Ex,250000.0
Gd,250000.0
TA,250000.0
Gd,250000.0
Gd,250000.0
Gd,250000.0
Gd,250000.0
Gd,249700.0
Gd,248900.0
Gd,248328.0
Gd,248000.0
Gd,248000.0
Gd,246578.0
Gd,245500.0
Gd,245350.0
Gd,245000.0
Gd,244600.0
TA,244400.0
Gd,244000.0
Gd,244000.0
TA,244000.0
TA,243000.0
