CentralAir,SalePrice
Y,755000.0
Y,745000.0
Y,625000.0
Y,611657.0
Y,582933.0
Y,556581.0
Y,555000.0
Y,538000.0
Y,501837.0
Y,485000.0
Y,475000.0
Y,466500.0
Y,465000.0
Y,451950.0
Y,446261.0
Y,440000.0
Y,438780.0
Y,437154.0
Y,430000.0
Y,426000.0
Y,424870.0
Y,423000.0
Y,415298.0
Y,412500.0
Y,410000.0
Y,403000.0
Y,402861.0
Y,402000.0
Y,395192.0
Y,395000.0
Y,394617.0
Y,394432.0
Y,392500.0
Y,392000.0
Y,386250.0
Y,385000.0
Y,385000.0
Y,383970.0
Y,381000.0
Y,380000.0
Y,378500.0
Y,377500.0
Y,377426.0
Y,375000.0
Y,374000.0
Y,372500.0
Y,372402.0
Y,370878.0
Y,369900.0
Y,367294.0
Y,361919.0
Y,360000.0
Y,359100.0
Y,354000.0
Y,350000.0
Y,350000.0
Y,348000.0
Y,345000.0
Y,345000.0
Y,342643.0
Y,341000.0
Y,340000.0
Y,340000.0
Y,339750.0
Y,337500.0
Y,337000.0
Y,336000.0
Y,335000.0
Y,335000.0
Y,335000.0
Y,333168.0
Y,328900.0
Y,328000.0
Y,326000.0
Y,325624.0
Y,325300.0
Y,325000.0
Y,325000.0
Y,325000.0
Y,325000.0
Y,324000.0
Y,320000.0
Y,320000.0
Y,320000.0
Y,320000.0
Y,319900.0
Y,319000.0
Y,318061.0
Y,318000.0
Y,318000.0
Y,317000.0
Y,316600.0
Y,315750.0
Y,315500.0
Y,315000.0
Y,315000.0
Y,315000.0
Y,315000.0
Y,314813.0
Y,313000.0
Y,312500.0
Y,311872.0
Y,311500.0
Y,310000.0
Y,310000.0
Y,309000.0
Y,307000.0
Y,306000.0
Y,305900.0
Y,305000.0
Y,303477.0
Y,302000.0
Y,302000.0
Y,301500.0
Y,301000.0
Y,299800.0
Y,297000.0
Y,295493.0
Y,295000.0
Y,294000.0
Y,293077.0
Y,290000.0
Y,290000.0
Y,290000.0
Y,290000.0
Y,290000.0
Y,289000.0
Y,287090.0
Y,287000.0
Y,287000.0
Y,286000.0
Y,285000.0
Y,285000.0
Y,285000.0
Y,284000.0
Y,284000.0
Y,283463.0
Y,282922.0
Y,281213.0
Y,281000.0
Y,280000.0
Y,280000.0
Y,280000.0
Y,280000.0
Y,279500.0
Y,278000.0
Y,278000.0
Y,277500.0
Y,277000.0
Y,277000.0
Y,276000.0
Y,275500.0
Y,275000.0
Y,275000.0
Y,275000.0
Y,275000.0
Y,275000.0
Y,274970.0
Y,274900.0
Y,274725.0
Y,274300.0
Y,274000.0
Y,272000.0
Y,272000.0
Y,271900.0
Y,271000.0
Y,271000.0
Y,270000.0
Y,270000.0
Y,270000.0
Y,269790.0
Y,269500.0
Y,268000.0
Y,268000.0
Y,267000.0
Y,266500.0
Y,266000.0
Y,266000.0
N,265979.0
Y,265900.0
Y,265000.0
Y,264561.0
Y,264132.0
Y,263435.0
Y,263000.0
Y,262500.0
Y,262500.0
Y,262280.0
Y,262000.0
Y,261500.0
Y,260400.0
Y,260000.0
Y,260000.0
Y,260000.0
Y,260000.0
Y,260000.0
Y,260000.0
Y,259500.0
Y,259000.0
Y,258000.0
Y,257500.0
Y,257000.0
Y,256300.0
Y,256000.0
Y,256000.0
Y,255900.0
Y,255500.0
Y,255000.0
Y,255000.0
Y,254900.0
Y,254000.0
Y,253293.0
Y,253000.0
Y,252678.0
Y,252000.0
Y,251000.0
Y,250580.0
Y,250000.0
Y,250000.0
Y,250000.0
Y,250000.0
Y,250000.0
Y,250000.0
Y,250000.0
Y,250000.0
Y,249700.0
Y,248900.0
Y,248328.0
Y,248000.0
Y,248000.0
Y,246578.0
Y,245500.0
Y,245350.0
Y,245000.0
Y,244600.0
Y,244400.0
Y,244000.0
Y,244000.0
Y,244000.0
Y,243000.0
Y,242000.0
Y,242000.0
Y,241500.0
Y,241500.0
Y,241000.0
Y,240000.0
Y,240000.0
Y,240000.0
Y,240000.0
Y,240000.0
Y,240000.0
Y,239900.0
Y,239799.0
Y,239686.0
Y,239500.0
Y,239000.0
Y,239000.0
N,239000.0
Y,239000.0
Y,239000.0
Y,239000.0
Y,238000.0
Y,237500.0
Y,237000.0
Y,237000.0
Y,236500.0
Y,236500.0
Y,236000.0
Y,236000.0
Y,235128.0
Y,235000.0
Y,235000.0
Y,235000.0
Y,235000.0
Y,235000.0
Y,235000.0
Y,235000.0
Y,234000.0
Y,234000.0
Y,233230.0
Y,233170.0
Y,233000.0
Y,232600.0
Y,232000.0
Y,232000.0
Y,232000.0
Y,231500.0
Y,231500.0
Y,230500.0
Y,230000.0
Y,230000.0
Y,230000.0
Y,230000.0
Y,230000.0
Y,230000.0
Y,230000.0
Y,230000.0
Y,229456.0
Y,229000.0
Y,228950.0
Y,228500.0
Y,228500.0
Y,228000.0
Y,228000.0
Y,227875.0
Y,227680.0
Y,227000.0
Y,227000.0
Y,227000.0
Y,226700.0
Y,226000.0
Y,226000.0
Y,226000.0
Y,225000.0
Y,225000.0
Y,225000.0
Y,225000.0
Y,225000.0
Y,225000.0
Y,224900.0
Y,224900.0
Y,224500.0
Y,224000.0
Y,224000.0
Y,223500.0
Y,223500.0
Y,223000.0
Y,222500.0
Y,222500.0
Y,222000.0
Y,222000.0
Y,222000.0
Y,221500.0
Y,221000.0
Y,221000.0
Y,220000.0
Y,220000.0
Y,220000.0
Y,220000.0
Y,220000.0
Y,219500.0
Y,219500.0
Y,219500.0
Y,219210.0
Y,218000.0
Y,217500.0
Y,217000.0
Y,217000.0
Y,216837.0
Y,216500.0
Y,216000.0
Y,215200.0
Y,215000.0
Y,215000.0
Y,215000.0
Y,215000.0
Y,215000.0
Y,215000.0
Y,215000.0
Y,215000.0
Y,214900.0
N,214500.0
Y,214000.0
Y,214000.0
Y,214000.0
Y,214000.0
Y,214000.0
Y,213500.0
Y,213500.0
Y,213490.0
Y,213250.0
Y,213000.0
Y,213000.0
Y,213000.0
Y,212900.0
Y,212000.0
Y,212000.0
Y,212000.0
Y,211000.0
Y,211000.0
Y,210000.0
Y,210000.0
Y,210000.0
Y,210000.0
Y,210000.0
Y,209500.0
Y,208900.0
Y,208900.0
Y,208500.0
Y,208300.0
Y,207500.0
Y,207500.0
Y,207500.0
Y,207500.0
Y,207500.0
Y,207000.0
Y,207000.0
Y,206900.0
Y,206300.0
Y,206000.0
Y,205950.0
Y,205000.0
Y,205000.0
N,205000.0
Y,205000.0
Y,205000.0
Y,205000.0
Y,204900.0
Y,204750.0
Y,204000.0
Y,204000.0
Y,203000.0
Y,203000.0
Y,202900.0
Y,202665.0
Y,202500.0
Y,202500.0
Y,202500.0
Y,201800.0
Y,201000.0
Y,201000.0
Y,201000.0
Y,200624.0
Y,200500.0
Y,200500.0
Y,200141.0
Y,200100.0
Y,200000.0
Y,200000.0
Y,200000.0
Y,200000.0
Y,200000.0
Y,200000.0
Y,200000.0
Y,200000.0
Y,199900.0
Y,199900.0
Y,198900.0
Y,198500.0
Y,197900.0
Y,197900.0
Y,197900.0
Y,197500.0
Y,197500.0
Y,197000.0
Y,197000.0
Y,197000.0
Y,197000.0
Y,196500.0
Y,196500.0
Y,196000.0
Y,196000.0
Y,196000.0
Y,195400.0
Y,195000.0
Y,195000.0
Y,195000.0
Y,194700.0
Y,194500.0
Y,194500.0
Y,194500.0
Y,194201.0
Y,194000.0
Y,194000.0
Y,194000.0
Y,193879.0
Y,193500.0
Y,193500.0
Y,193000.0
Y,193000.0
Y,193000.0
Y,192500.0
Y,192500.0
Y,192140.0
Y,192000.0
Y,192000.0
Y,192000.0
Y,192000.0
Y,192000.0
Y,191000.0
Y,191000.0
Y,191000.0
Y,191000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,190000.0
Y,189950.0
Y,189000.0
Y,189000.0
Y,189000.0
Y,189000.0
Y,189000.0
Y,189000.0
Y,188700.0
Y,188500.0
Y,188000.0
Y,188000.0
Y,188000.0
Y,187750.0
Y,187500.0
Y,187500.0
Y,187500.0
Y,187500.0
Y,187500.0
Y,187500.0
Y,187100.0
Y,187000.0
Y,187000.0
Y,187000.0
Y,186700.0
Y,186500.0
Y,186500.0
Y,186000.0
Y,185900.0
Y,185850.0
Y,185750.0
Y,185500.0
Y,185000.0
Y,185000.0
Y,185000.0
Y,185000.0
Y,185000.0
Y,185000.0
Y,185000.0
Y,185000.0
Y,185000.0
Y,185000.0
Y,184900.0
Y,184750.0
Y,184100.0
Y,184000.0
Y,184000.0
Y,184000.0
Y,184000.0
Y,183900.0
Y,183500.0
Y,183200.0
Y,183000.0
Y,182900.0
Y,182000.0
Y,181900.0
Y,181500.0
Y,181134.0
Y,181000.0
Y,181000.0
Y,181000.0
Y,181000.0
Y,181000.0
Y,181000.0
Y,181000.0
Y,180500.0
Y,180500.0
Y,180500.0
Y,180500.0
Y,180000.0
Y,180000.0
Y,180000.0
Y,180000.0
Y,180000.0
Y,180000.0
Y,180000.0
Y,180000.0
Y,180000.0
Y,180000.0
Y,179900.0
Y,179900.0
Y,179900.0
Y,179900.0
Y,179900.0
Y,179665.0
Y,179600.0
Y,179540.0
Y,179500.0
Y,179400.0
Y,179200.0
Y,179200.0
Y,179000.0
Y,179000.0
Y,179000.0
Y,178900.0
Y,178740.0
Y,178400.0
Y,178000.0
Y,178000.0
Y,178000.0
Y,178000.0
Y,178000.0
Y,178000.0
Y,178000.0
Y,177500.0
Y,177500.0
Y,177500.0
Y,177000.0
Y,177000.0
Y,177000.0
Y,177000.0
Y,177000.0
Y,176500.0
Y,176500.0
Y,176485.0
Y,176432.0
Y,176000.0
Y,176000.0
Y,176000.0
Y,176000.0
Y,176000.0
Y,176000.0
Y,176000.0
Y,176000.0
Y,175900.0
Y,175900.0
Y,175500.0
Y,175500.0
Y,175500.0
Y,175000.0
Y,175000.0
Y,175000.0
Y,175000.0
Y,175000.0
Y,175000.0
Y,175000.0
Y,175000.0
Y,175000.0
Y,174900.0
Y,174500.0
Y,174000.0
Y,174000.0
Y,174000.0
Y,174000.0
Y,174000.0
Y,174000.0
Y,174000.0
Y,173900.0
Y,173733.0
Y,173500.0
Y,173000.0
Y,173000.0
Y,173000.0
Y,173000.0
Y,173000.0
Y,173000.0
Y,173000.0
Y,172785.0
Y,172500.0
Y,172500.0
Y,172500.0
Y,172500.0
Y,172500.0
Y,172400.0
Y,172000.0
