Exterior2nd,SalePrice
HdBoard,755000.0
ImStucc,745000.0
HdBoard,625000.0
VinylSd,611657.0
VinylSd,582933.0
CmentBd,556581.0
VinylSd,555000.0
Wd Shng,538000.0
VinylSd,501837.0
VinylSd,485000.0
Wd Sdng,475000.0
VinylSd,466500.0
VinylSd,465000.0
CmentBd,451950.0
VinylSd,446261.0
VinylSd,440000.0
VinylSd,438780.0
CmentBd,437154.0
BrkFace,430000.0
VinylSd,426000.0
VinylSd,424870.0
VinylSd,423000.0
CmentBd,415298.0
VinylSd,412500.0
VinylSd,410000.0
VinylSd,403000.0
CmentBd,402861.0
VinylSd,402000.0
VinylSd,395192.0
VinylSd,395000.0
VinylSd,394617.0
VinylSd,394432.0
CmentBd,392500.0
MetalSd,392000.0
VinylSd,386250.0
Wd Shng,385000.0
CmentBd,385000.0
VinylSd,383970.0
Stucco,381000.0
VinylSd,380000.0
CmentBd,378500.0
VinylSd,377500.0
VinylSd,377426.0
BrkFace,375000.0
VinylSd,374000.0
VinylSd,372500.0
VinylSd,372402.0
CmentBd,370878.0
VinylSd,369900.0
MetalSd,367294.0
VinylSd,361919.0
VinylSd,360000.0
Wd Sdng,359100.0
VinylSd,354000.0
MetalSd,350000.0
VinylSd,350000.0
VinylSd,348000.0
Wd Shng,345000.0
Wd Sdng,345000.0
VinylSd,342643.0
ImStucc,341000.0
CmentBd,340000.0
VinylSd,340000.0
VinylSd,339750.0
CmentBd,337500.0
VinylSd,337000.0
VinylSd,336000.0
MetalSd,335000.0
VinylSd,335000.0
HdBoard,335000.0
VinylSd,333168.0
MetalSd,328900.0
Wd Sdng,328000.0
VinylSd,326000.0
VinylSd,325624.0
VinylSd,325300.0
VinylSd,325000.0
Wd Sdng,325000.0
HdBoard,325000.0
VinylSd,325000.0
BrkFace,324000.0
Plywood,320000.0
VinylSd,320000.0
CmentBd,320000.0
ImStucc,320000.0
MetalSd,319900.0
Other,319000.0
MetalSd,318061.0
VinylSd,318000.0
VinylSd,318000.0
VinylSd,317000.0
Wd Sdng,316600.0
VinylSd,315750.0
VinylSd,315500.0
BrkFace,315000.0
VinylSd,315000.0
VinylSd,315000.0
VinylSd,315000.0
CmentBd,314813.0
VinylSd,313000.0
VinylSd,312500.0
CmentBd,311872.0
VinylSd,311500.0
MetalSd,310000.0
VinylSd,310000.0
VinylSd,309000.0
VinylSd,307000.0
VinylSd,306000.0
CmentBd,305900.0
