FireplaceQu,SalePrice
Ex,755000.0
TA,745000.0
TA,625000.0
Gd,611657.0
Gd,582933.0
Gd,556581.0
Gd,555000.0
Gd,538000.0
Gd,501837.0
Gd,485000.0
TA,475000.0
Gd,466500.0
Gd,465000.0
Gd,451950.0
Gd,446261.0
Ex,440000.0
Gd,438780.0
Ex,437154.0
Gd,430000.0
Ex,426000.0
TA,424870.0
Ex,423000.0
Ex,415298.0
Gd,412500.0
Ex,410000.0
TA,403000.0
Gd,402861.0
TA,402000.0
Gd,395192.0
Gd,395000.0
Gd,394617.0
Ex,394432.0
Gd,392500.0
Gd,392000.0
Ex,386250.0
Gd,385000.0
Gd,385000.0
Gd,383970.0
Gd,381000.0
Gd,380000.0
Gd,378500.0
Gd,377500.0
Gd,377426.0
Gd,375000.0
Gd,374000.0
Gd,372500.0
Gd,372402.0
Gd,370878.0
Gd,369900.0
Gd,367294.0
Gd,361919.0
Ex,360000.0
Gd,359100.0
Gd,354000.0
TA,350000.0
Gd,350000.0
TA,348000.0
Gd,345000.0
TA,345000.0
Gd,342643.0
TA,341000.0
Gd,340000.0
TA,340000.0
Gd,339750.0
Gd,337500.0
Gd,337000.0
TA,336000.0
Gd,335000.0
Gd,335000.0
TA,335000.0
TA,333168.0
TA,328900.0
TA,328000.0
Gd,326000.0
Gd,325624.0
Gd,325300.0
Gd,325000.0
Gd,325000.0
TA,325000.0
Ex,325000.0
Gd,324000.0
TA,320000.0
Gd,320000.0
Gd,320000.0
Gd,320000.0
Gd,319900.0
TA,319000.0
Gd,318061.0
Gd,318000.0
Gd,318000.0
Gd,317000.0
Gd,316600.0
TA,315750.0
Ex,315500.0
TA,315000.0
TA,315000.0
Gd,315000.0
Gd,315000.0
Gd,314813.0
Ex,313000.0
Gd,312500.0
Gd,311872.0
TA,311500.0
TA,310000.0
Ex,310000.0
Gd,309000.0
Gd,307000.0
Gd,306000.0
Ex,305900.0
Gd,305000.0
Gd,303477.0
TA,302000.0
Ex,302000.0
TA,301500.0
TA,301000.0
TA,299800.0
Gd,297000.0
Gd,295493.0
Ex,295000.0
Gd,294000.0
Gd,293077.0
TA,290000.0
Gd,290000.0
TA,290000.0
Gd,290000.0
TA,290000.0
TA,289000.0
Gd,287090.0
Gd,287000.0
TA,287000.0
Gd,286000.0
TA,285000.0
Gd,285000.0
TA,285000.0
Gd,284000.0
Gd,284000.0
Gd,283463.0
Ex,282922.0
Gd,281213.0
Gd,281000.0
TA,280000.0
Gd,280000.0
TA,280000.0
Gd,280000.0
Gd,279500.0
Gd,278000.0
Ex,278000.0
Gd,277500.0
Gd,277000.0
TA,277000.0
Gd,276000.0
Gd,275500.0
TA,275000.0
Gd,275000.0
TA,275000.0
TA,275000.0
Gd,275000.0
Gd,274970.0
Gd,274900.0
Gd,274725.0
TA,274300.0
Gd,274000.0
TA,272000.0
TA,272000.0
TA,271900.0
Gd,271000.0
TA,271000.0
Gd,270000.0
Gd,270000.0
Gd,270000.0
TA,269790.0
Gd,269500.0
TA,268000.0
TA,268000.0
TA,267000.0
Gd,266500.0
Gd,266000.0
Ex,266000.0
Gd,265979.0
Gd,265900.0
TA,265000.0
Gd,264561.0
Gd,264132.0
Gd,263435.0
Gd,263000.0
Gd,262500.0
Gd,262500.0
Ex,262280.0
Fa,262000.0
TA,261500.0
TA,260400.0
TA,260000.0
Gd,260000.0
TA,260000.0
TA,260000.0
TA,260000.0
Gd,260000.0
TA,259500.0
Gd,259000.0
TA,258000.0
TA,257500.0
Gd,257000.0
Gd,256300.0
Gd,256000.0
TA,256000.0
Gd,255900.0
Gd,255500.0
Gd,255000.0
Gd,255000.0
Gd,254900.0
Gd,254000.0
Gd,253293.0
Gd,253000.0
TA,252678.0
Gd,252000.0
Ex,251000.0
Gd,250580.0
TA,250000.0
Gd,250000.0
Gd,250000.0
Gd,250000.0
Gd,250000.0
TA,250000.0
Gd,250000.0
TA,250000.0
Ex,249700.0
Gd,248900.0
Gd,248328.0
TA,248000.0
Gd,248000.0
Gd,246578.0
Gd,245500.0
Gd,245350.0
Gd,245000.0
Gd,244600.0
TA,244400.0
Gd,244000.0
TA,244000.0
TA,244000.0
Gd,243000.0
Gd,242000.0
Gd,242000.0
TA,241500.0
TA,241500.0
Gd,241000.0
Fa,240000.0
TA,240000.0
Gd,240000.0
Gd,240000.0
Gd,240000.0
TA,240000.0
Gd,239900.0
Gd,239799.0
Ex,239686.0
TA,239500.0
TA,239000.0
TA,239000.0
Gd,239000.0
Gd,239000.0
Gd,239000.0
Gd,239000.0
TA,238000.0
Gd,237500.0
TA,237000.0
Gd,237000.0
TA,236500.0
TA,236500.0
TA,236000.0
TA,236000.0
Gd,235128.0
Gd,235000.0
Ex,235000.0
Gd,235000.0
TA,235000.0
TA,235000.0
TA,235000.0
TA,235000.0
Gd,234000.0
TA,234000.0
Gd,233230.0
Gd,233170.0
TA,233000.0
Gd,232600.0
Gd,232000.0
Gd,232000.0
TA,232000.0
TA,231500.0
TA,231500.0
TA,230500.0
Gd,230000.0
TA,230000.0
TA,230000.0
Gd,230000.0
Gd,230000.0
Gd,230000.0
Gd,230000.0
TA,230000.0
Gd,229456.0
TA,229000.0
Gd,228950.0
TA,228500.0
Gd,228500.0
TA,228000.0
TA,228000.0
Gd,227875.0
Gd,227680.0
TA,227000.0
Gd,227000.0
Gd,227000.0
TA,226700.0
TA,226000.0
Gd,226000.0
TA,226000.0
TA,225000.0
TA,225000.0
Gd,225000.0
Gd,225000.0
Gd,225000.0
TA,225000.0
TA,224900.0
TA,224900.0
Gd,224500.0
Gd,224000.0
Gd,224000.0
TA,223500.0
TA,223500.0
TA,223000.0
Gd,222500.0
TA,222500.0
Gd,222000.0
Gd,222000.0
TA,222000.0
Gd,221500.0
TA,221000.0
TA,221000.0
Gd,220000.0
Gd,220000.0
Gd,220000.0
TA,220000.0
Gd,220000.0
TA,219500.0
Gd,219500.0
Gd,219500.0
Gd,219210.0
Fa,218000.0
TA,217500.0
Gd,217000.0
TA,217000.0
Gd,216837.0
TA,216500.0
TA,216000.0
Gd,215200.0
Gd,215000.0
TA,215000.0
TA,215000.0
