GarageFinish,SalePrice
Fin,755000.0
Fin,745000.0
Fin,625000.0
Fin,611657.0
RFn,582933.0
Fin,556581.0
Fin,555000.0
Fin,538000.0
Fin,501837.0
Fin,485000.0
Unf,475000.0
RFn,466500.0
Fin,465000.0
RFn,451950.0
Fin,446261.0
RFn,440000.0
Fin,438780.0
Fin,437154.0
RFn,430000.0
Fin,426000.0
RFn,424870.0
Fin,423000.0
Fin,415298.0
Fin,412500.0
Fin,410000.0
Fin,403000.0
Fin,402861.0
RFn,402000.0
Fin,395192.0
Fin,395000.0
Fin,394617.0
Fin,394432.0
Fin,392500.0
RFn,392000.0
Fin,386250.0
Fin,385000.0
Fin,385000.0
Fin,383970.0
Unf,381000.0
Fin,380000.0
Fin,378500.0
Fin,377500.0
Fin,377426.0
RFn,375000.0
Fin,374000.0
Fin,372500.0
RFn,372402.0
Fin,370878.0
RFn,369900.0
Fin,367294.0
Fin,361919.0
Fin,360000.0
Unf,359100.0
Fin,354000.0
Fin,350000.0
Fin,350000.0
Fin,348000.0
Fin,345000.0
Fin,345000.0
RFn,342643.0
RFn,341000.0
RFn,340000.0
Fin,340000.0
Fin,339750.0
Fin,337500.0
RFn,337000.0
Fin,336000.0
RFn,335000.0
Fin,335000.0
Fin,335000.0
Fin,333168.0
Fin,328900.0
RFn,328000.0
Fin,326000.0
Fin,325624.0
RFn,325300.0
Fin,325000.0
Unf,325000.0
RFn,325000.0
Fin,325000.0
Fin,324000.0
Unf,320000.0
RFn,320000.0
Fin,320000.0
Fin,320000.0
RFn,319900.0
Fin,319000.0
RFn,318061.0
Fin,318000.0
RFn,318000.0
RFn,317000.0
Fin,316600.0
Fin,315750.0
Fin,315500.0
Unf,315000.0
Fin,315000.0
Fin,315000.0
Fin,315000.0
Unf,314813.0
Fin,313000.0
Fin,312500.0
Fin,311872.0
Unf,311500.0
RFn,310000.0
Fin,310000.0
Fin,309000.0
RFn,307000.0
RFn,306000.0
Fin,305900.0
Fin,305000.0
Fin,303477.0
Unf,302000.0
RFn,302000.0
Fin,301500.0
Fin,301000.0
Fin,299800.0
RFn,297000.0
RFn,295493.0
Unf,295000.0
RFn,294000.0
RFn,293077.0
RFn,290000.0
Fin,290000.0
RFn,290000.0
RFn,290000.0
RFn,290000.0
Fin,289000.0
Fin,287090.0
Fin,287000.0
Fin,287000.0
Fin,286000.0
Fin,285000.0
Fin,285000.0
Fin,285000.0
RFn,284000.0
RFn,284000.0
Fin,283463.0
Unf,282922.0
Fin,281213.0
Fin,281000.0
RFn,280000.0
RFn,280000.0
Unf,280000.0
Fin,280000.0
RFn,279500.0
Fin,278000.0
Fin,278000.0
Fin,277500.0
Fin,277000.0
Fin,277000.0
Fin,276000.0
RFn,275500.0
Fin,275000.0
Fin,275000.0
RFn,275000.0
RFn,275000.0
Fin,275000.0
Unf,274970.0
Fin,274900.0
RFn,274725.0
RFn,274300.0
RFn,274000.0
RFn,272000.0
Fin,272000.0
RFn,271900.0
RFn,271000.0
RFn,271000.0
RFn,270000.0
Fin,270000.0
Fin,270000.0
Unf,269790.0
Fin,269500.0
RFn,268000.0
Unf,268000.0
Fin,267000.0
RFn,266500.0
RFn,266000.0
RFn,266000.0
Unf,265979.0
RFn,265900.0
RFn,265000.0
Fin,264561.0
Fin,264132.0
Fin,263435.0
Fin,263000.0
RFn,262500.0
RFn,262500.0
Unf,262280.0
RFn,262000.0
RFn,261500.0
Fin,260400.0
Unf,260000.0
Fin,260000.0
RFn,260000.0
RFn,260000.0
Fin,260000.0
Fin,260000.0
Unf,259500.0
Fin,259000.0
Fin,258000.0
Fin,257500.0
Fin,257000.0
RFn,256300.0
Fin,256000.0
Unf,256000.0
Unf,255900.0
RFn,255500.0
RFn,255000.0
Fin,255000.0
RFn,254900.0
Fin,254000.0
RFn,253293.0
RFn,253000.0
RFn,252678.0
RFn,252000.0
RFn,251000.0
Fin,250580.0
RFn,250000.0
RFn,250000.0
RFn,250000.0
Unf,250000.0
Fin,250000.0
Fin,250000.0
Fin,250000.0
RFn,250000.0
RFn,249700.0
RFn,248900.0
RFn,248328.0
Fin,248000.0
Fin,248000.0
Fin,246578.0
Fin,245500.0
RFn,245350.0
RFn,245000.0
Fin,244600.0
Unf,244400.0
Fin,244000.0
RFn,244000.0
Fin,244000.0
Unf,243000.0
Fin,242000.0
RFn,242000.0
Fin,241500.0
Unf,241500.0
Fin,241000.0
Fin,240000.0
RFn,240000.0
Unf,240000.0
RFn,240000.0
Fin,240000.0
RFn,240000.0
Fin,239900.0
RFn,239799.0
RFn,239686.0
RFn,239500.0
RFn,239000.0
RFn,239000.0
Unf,239000.0
Fin,239000.0
Unf,239000.0
Fin,239000.0
RFn,238000.0
Fin,237500.0
RFn,237000.0
RFn,237000.0
RFn,236500.0
RFn,236500.0
Fin,236000.0
Fin,236000.0
RFn,235128.0
RFn,235000.0
Unf,235000.0
Fin,235000.0
Fin,235000.0
Unf,235000.0
RFn,235000.0
RFn,235000.0
Unf,234000.0
Fin,234000.0
RFn,233230.0
RFn,233170.0
RFn,233000.0
RFn,232600.0
RFn,232000.0
RFn,232000.0
Fin,232000.0
RFn,231500.0
RFn,231500.0
RFn,230500.0
RFn,230000.0
Fin,230000.0
Fin,230000.0
Unf,230000.0
Fin,230000.0
RFn,230000.0
Unf,230000.0
RFn,230000.0
RFn,229456.0
Unf,229000.0
Fin,228950.0
Fin,228500.0
RFn,228500.0
RFn,228000.0
Unf,228000.0
Fin,227875.0
RFn,227680.0
Fin,227000.0
RFn,227000.0
RFn,227000.0
RFn,226700.0
RFn,226000.0
Fin,226000.0
Fin,226000.0
Fin,225000.0
RFn,225000.0
Unf,225000.0
Fin,225000.0
Fin,225000.0
Fin,225000.0
RFn,224900.0
RFn,224900.0
RFn,224500.0
RFn,224000.0
Unf,224000.0
RFn,223500.0
RFn,223500.0
RFn,223000.0
Fin,222500.0
Fin,222500.0
Fin,222000.0
Fin,222000.0
Fin,222000.0
RFn,221500.0
RFn,221000.0
Fin,221000.0
Fin,220000.0
RFn,220000.0
RFn,220000.0
Fin,220000.0
Unf,220000.0
RFn,219500.0
Fin,219500.0
Unf,219500.0
Fin,219210.0
RFn,218000.0
Fin,217500.0
Unf,217000.0
RFn,217000.0
Fin,216837.0
Fin,216500.0
RFn,216000.0
Unf,215200.0
Fin,215000.0
Fin,215000.0
Fin,215000.0
RFn,215000.0
Fin,215000.0
Fin,215000.0
RFn,215000.0
Fin,215000.0
Fin,214900.0
Unf,214500.0
RFn,214000.0
RFn,214000.0
RFn,214000.0
RFn,214000.0
Fin,214000.0
RFn,213500.0
Fin,213500.0
Fin,213490.0
Fin,213250.0
RFn,213000.0
Unf,213000.0
Unf,213000.0
RFn,212900.0
RFn,212000.0
RFn,212000.0
RFn,212000.0
Unf,211000.0
RFn,211000.0
Unf,210000.0
Unf,210000.0
RFn,210000.0
Unf,210000.0
Unf,210000.0
RFn,209500.0
Fin,208900.0
RFn,208900.0
RFn,208500.0
Fin,208300.0
RFn,207500.0
RFn,207500.0
RFn,207500.0
Fin,207500.0
Unf,207500.0
RFn,207000.0
Unf,207000.0
Unf,206900.0
Fin,206300.0
RFn,206000.0
RFn,205950.0
RFn,205000.0
RFn,205000.0
Unf,205000.0
RFn,205000.0
Unf,205000.0
RFn,205000.0
RFn,204900.0
RFn,204750.0
RFn,204000.0
Fin,204000.0
Fin,203000.0
RFn,203000.0
Fin,202900.0
RFn,202665.0
RFn,202500.0
RFn,202500.0
RFn,202500.0
Unf,201800.0
Fin,201000.0
RFn,201000.0
Fin,201000.0
RFn,200624.0
RFn,200500.0
Unf,200500.0
Fin,200141.0
Unf,200100.0
RFn,200000.0
Unf,200000.0
RFn,200000.0
Unf,200000.0
RFn,200000.0
RFn,200000.0
RFn,200000.0
Unf,200000.0
Fin,199900.0
Fin,199900.0
RFn,198900.0
RFn,198500.0
RFn,197900.0
RFn,197900.0
RFn,197900.0
RFn,197500.0
Unf,197500.0
RFn,197000.0
Fin,197000.0
Fin,197000.0
RFn,197000.0
RFn,196500.0
Unf,196500.0
RFn,196000.0
RFn,196000.0
RFn,196000.0
RFn,195400.0
Fin,195000.0
RFn,195000.0
Fin,195000.0
RFn,194700.0
RFn,194500.0
RFn,194500.0
Fin,194500.0
Fin,194201.0
RFn,194000.0
RFn,194000.0
Unf,194000.0
RFn,193879.0
Fin,193500.0
RFn,193500.0
RFn,193000.0
RFn,193000.0
Fin,193000.0
Fin,192500.0
RFn,192500.0
Fin,192140.0
Fin,192000.0
Fin,192000.0
Fin,192000.0
Fin,192000.0
RFn,192000.0
RFn,191000.0
RFn,191000.0
Fin,191000.0
Fin,191000.0
RFn,190000.0
RFn,190000.0
Fin,190000.0
RFn,190000.0
Fin,190000.0
Fin,190000.0
RFn,190000.0
RFn,190000.0
RFn,190000.0
RFn,190000.0
Fin,190000.0
Unf,190000.0
RFn,190000.0
Unf,189950.0
Fin,189000.0
Fin,189000.0
RFn,189000.0
Fin,189000.0
RFn,189000.0
RFn,189000.0
Unf,188700.0
Fin,188500.0
Unf,188000.0
Fin,188000.0
Fin,188000.0
RFn,187750.0
Unf,187500.0
Fin,187500.0
Fin,187500.0
RFn,187500.0
RFn,187500.0
Fin,187500.0
RFn,187100.0
RFn,187000.0
RFn,187000.0
RFn,187000.0
RFn,186700.0
RFn,186500.0
Fin,186500.0
RFn,186000.0
RFn,185900.0
RFn,185850.0
RFn,185750.0
RFn,185500.0
Fin,185000.0
Fin,185000.0
Fin,185000.0
Fin,185000.0
Fin,185000.0
Fin,185000.0
RFn,185000.0
RFn,185000.0
RFn,185000.0
RFn,185000.0
RFn,184900.0
Fin,184750.0
Fin,184100.0
Fin,184000.0
Fin,184000.0
Unf,184000.0
Fin,184000.0
Unf,183900.0
Fin,183500.0
Fin,183200.0
RFn,183000.0
Fin,182900.0
Fin,182000.0
Unf,181900.0
RFn,181500.0
Fin,181134.0
Unf,181000.0
Fin,181000.0
RFn,181000.0
Fin,181000.0
RFn,181000.0
Fin,181000.0
Fin,181000.0
RFn,180500.0
RFn,180500.0
Unf,180500.0
RFn,180500.0
RFn,180000.0
Fin,180000.0
Unf,180000.0
RFn,180000.0
RFn,180000.0
RFn,180000.0
Fin,180000.0
Fin,180000.0
Unf,180000.0
Fin,180000.0
RFn,179900.0
RFn,179900.0
Fin,179900.0
RFn,179900.0
RFn,179900.0
RFn,179665.0
RFn,179600.0
Fin,179540.0
Unf,179500.0
Unf,179400.0
RFn,179200.0
RFn,179200.0
Fin,179000.0
Unf,179000.0
Unf,179000.0
Fin,178900.0
Fin,178740.0
RFn,178400.0
Fin,178000.0
Unf,178000.0
Fin,178000.0
