GarageType,SalePrice
Attchd,755000.0
Attchd,745000.0
Attchd,625000.0
Attchd,611657.0
BuiltIn,582933.0
BuiltIn,556581.0
Attchd,555000.0
BuiltIn,538000.0
Attchd,501837.0
BuiltIn,485000.0
Detchd,475000.0
Attchd,466500.0
Attchd,465000.0
BuiltIn,451950.0
Attchd,446261.0
Attchd,440000.0
BuiltIn,438780.0
Attchd,437154.0
Attchd,430000.0
BuiltIn,426000.0
BuiltIn,424870.0
Attchd,423000.0
Attchd,415298.0
BuiltIn,412500.0
Attchd,410000.0
Attchd,403000.0
Attchd,402861.0
Attchd,402000.0
Attchd,395192.0
Attchd,395000.0
Attchd,394617.0
Attchd,394432.0
Attchd,392500.0
Attchd,392000.0
Attchd,386250.0
Attchd,385000.0
Attchd,385000.0
BuiltIn,383970.0
BuiltIn,381000.0
BuiltIn,380000.0
Attchd,378500.0
Attchd,377500.0
Attchd,377426.0
Attchd,375000.0
Attchd,374000.0
Attchd,372500.0
Attchd,372402.0
Attchd,370878.0
Attchd,369900.0
Attchd,367294.0
BuiltIn,361919.0
Attchd,360000.0
Basment,359100.0
BuiltIn,354000.0
Attchd,350000.0
Attchd,350000.0
Attchd,348000.0
BuiltIn,345000.0
Attchd,345000.0
Attchd,342643.0
Attchd,341000.0
Attchd,340000.0
Attchd,340000.0
Attchd,339750.0
Attchd,337500.0
Attchd,337000.0
Attchd,336000.0
Attchd,335000.0
Attchd,335000.0
Attchd,335000.0
BuiltIn,333168.0
Attchd,328900.0
Attchd,328000.0
Attchd,326000.0
Attchd,325624.0
BuiltIn,325300.0
BuiltIn,325000.0
Detchd,325000.0
Attchd,325000.0
Attchd,325000.0
Attchd,324000.0
Attchd,320000.0
Attchd,320000.0
Attchd,320000.0
Attchd,320000.0
Attchd,319900.0
Attchd,319000.0
Attchd,318061.0
Attchd,318000.0
Attchd,318000.0
BuiltIn,317000.0
BuiltIn,316600.0
Attchd,315750.0
Attchd,315500.0
Detchd,315000.0
Attchd,315000.0
Attchd,315000.0
Attchd,315000.0
Attchd,314813.0
Attchd,313000.0
Attchd,312500.0
Attchd,311872.0
Attchd,311500.0
Attchd,310000.0
Attchd,310000.0
BuiltIn,309000.0
Attchd,307000.0
Attchd,306000.0
Attchd,305900.0
Attchd,305000.0
BuiltIn,303477.0
Attchd,302000.0
Attchd,302000.0
Attchd,301500.0
Attchd,301000.0
BuiltIn,299800.0
Attchd,297000.0
Attchd,295493.0
Attchd,295000.0
Attchd,294000.0
Attchd,293077.0
Attchd,290000.0
Attchd,290000.0
Attchd,290000.0
Attchd,290000.0
Attchd,290000.0
Attchd,289000.0
Attchd,287090.0
Attchd,287000.0
BuiltIn,287000.0
Attchd,286000.0
Attchd,285000.0
BuiltIn,285000.0
Attchd,285000.0
Attchd,284000.0
BuiltIn,284000.0
Attchd,283463.0
Attchd,282922.0
BuiltIn,281213.0
BuiltIn,281000.0
Attchd,280000.0
Attchd,280000.0
Attchd,280000.0
Attchd,280000.0
Attchd,279500.0
Attchd,278000.0
Attchd,278000.0
Attchd,277500.0
Attchd,277000.0
Attchd,277000.0
BuiltIn,276000.0
Attchd,275500.0
Attchd,275000.0
BuiltIn,275000.0
Attchd,275000.0
Attchd,275000.0
Attchd,275000.0
Attchd,274970.0
Attchd,274900.0
BuiltIn,274725.0
Detchd,274300.0
Attchd,274000.0
Attchd,272000.0
Attchd,272000.0
Attchd,271900.0
Attchd,271000.0
Attchd,271000.0
Attchd,270000.0
Attchd,270000.0
Attchd,270000.0
Attchd,269790.0
BuiltIn,269500.0
Attchd,268000.0
Attchd,268000.0
BuiltIn,267000.0
Attchd,266500.0
Attchd,266000.0
Attchd,266000.0
Detchd,265979.0
Attchd,265900.0
Attchd,265000.0
Attchd,264561.0
Attchd,264132.0
BuiltIn,263435.0
BuiltIn,263000.0
Attchd,262500.0
Attchd,262500.0
Attchd,262280.0
Attchd,262000.0
BuiltIn,261500.0
Attchd,260400.0
Attchd,260000.0
Attchd,260000.0
Attchd,260000.0
Attchd,260000.0
Attchd,260000.0
Attchd,260000.0
Detchd,259500.0
Attchd,259000.0
