GarageYrBlt,SalePrice
1994,755000.0
1996,745000.0
1995,625000.0
2009,611657.0
2009,582933.0
2005,556581.0
2008,555000.0
2003,538000.0
2009,501837.0
2009,485000.0
1993,475000.0
2001,466500.0
2006,465000.0
2008,451950.0
2008,446261.0
2006,440000.0
2006,438780.0
2006,437154.0
1992,430000.0
2008,426000.0
2006,424870.0
2005,423000.0
2007,415298.0
2003,412500.0
1996,410000.0
1995,403000.0
2009,402861.0
1994,402000.0
2010,395192.0
2006,395000.0
2008,394617.0
2010,394432.0
2008,392500.0
2007,392000.0
2003,386250.0
1981,385000.0
2007,385000.0
2007,383970.0
1982,381000.0
2006,380000.0
2009,378500.0
2006,377500.0
2005,377426.0
1965,375000.0
2003,374000.0
2008,372500.0
2007,372402.0
2009,370878.0
2005,369900.0
2008,367294.0
2006,361919.0
2003,360000.0
1934,359100.0
2004,354000.0
1995,350000.0
2004,350000.0
1997,348000.0
2005,345000.0
1972,345000.0
2006,342643.0
1993,341000.0
2004,340000.0
1998,340000.0
2008,339750.0
2008,337500.0
1999,337000.0
1998,336000.0
1989,335000.0
2008,335000.0
1959,335000.0
1999,333168.0
1999,328900.0
1996,328000.0
2004,326000.0
2007,325624.0
2005,325300.0
2005,325000.0
1988,325000.0
1994,325000.0
2006,325000.0
1993,324000.0
1990,320000.0
2006,320000.0
2007,320000.0
2006,320000.0
2005,319900.0
2005,319000.0
2007,318061.0
2007,318000.0
2007,318000.0
2004,317000.0
1983,316600.0
1996,315750.0
2008,315500.0
1932,315000.0
1998,315000.0
2006,315000.0
2004,315000.0
2007,314813.0
2000,313000.0
2002,312500.0
2007,311872.0
1939,311500.0
1993,310000.0
2008,310000.0
2004,309000.0
2004,307000.0
2008,306000.0
2004,305900.0
2003,305000.0
2007,303477.0
1971,302000.0
1990,302000.0
1994,301500.0
1987,301000.0
1994,299800.0
2007,297000.0
2008,295493.0
2003,295000.0
1974,294000.0
2008,293077.0
1995,290000.0
1999,290000.0
1995,290000.0
2006,290000.0
1994,290000.0
1959,289000.0
2008,287090.0
1976,287000.0
2001,287000.0
2001,286000.0
2002,285000.0
2003,285000.0
1992,285000.0
2003,284000.0
2003,284000.0
2006,283463.0
2007,282922.0
2005,281213.0
2006,281000.0
1998,280000.0
2006,280000.0
1975,280000.0
2004,280000.0
2006,279500.0
1981,278000.0
2000,278000.0
2005,277500.0
1988,277000.0
1958,277000.0
2007,276000.0
2005,275500.0
1989,275000.0
2003,275000.0
1985,275000.0
2001,275000.0
2004,275000.0
1966,274970.0
2004,274900.0
2006,274725.0
1998,274300.0
2003,274000.0
2001,272000.0
1977,272000.0
1990,271900.0
2002,271000.0
1994,271000.0
2006,270000.0
1995,270000.0
2002,270000.0
1997,269790.0
2009,269500.0
1992,268000.0
1970,268000.0
1998,267000.0
1941,266500.0
2006,266000.0
2005,266000.0
1950,265979.0
2006,265900.0
1996,265000.0
2006,264561.0
2008,264132.0
2009,263435.0
2003,263000.0
2008,262500.0
1968,262500.0
1990,262280.0
1994,262000.0
2001,261500.0
1996,260400.0
1991,260000.0
2005,260000.0
1983,260000.0
1993,260000.0
1979,260000.0
2005,260000.0
1945,259500.0
2004,259000.0
1998,258000.0
1957,257500.0
2005,257000.0
2007,256300.0
1954,256000.0
1920,256000.0
2002,255900.0
2006,255500.0
2006,255000.0
2002,255000.0
2004,254900.0
2006,254000.0
2009,253293.0
2005,253000.0
2009,252678.0
2005,252000.0
2000,251000.0
2008,250580.0
2000,250000.0
2003,250000.0
2006,250000.0
1968,250000.0
1936,250000.0
1990,250000.0
2005,250000.0
1978,250000.0
2006,249700.0
2007,248900.0
