GrLivArea,SalePrice
4316,755000.0
4476,745000.0
3627,625000.0
2364,611657.0
2822,582933.0
2868,556581.0
2402,555000.0
3279,538000.0
2234,501837.0
3140,485000.0
3608,475000.0
2633,466500.0
2076,465000.0
2296,451950.0
2713,446261.0
1976,440000.0
2945,438780.0
2728,437154.0
3228,430000.0
2332,426000.0
2828,424870.0
2097,423000.0
2121,415298.0
2668,412500.0
3238,410000.0
2794,403000.0
2020,402861.0
2448,402000.0
1940,395192.0
1973,395000.0
1932,394617.0
1856,394432.0
1652,392500.0
1419,392000.0
2392,386250.0
1842,385000.0
2084,385000.0
2696,383970.0
3447,381000.0
2643,380000.0
2018,378500.0
1746,377500.0
1922,377426.0
2036,375000.0
1792,374000.0
2046,372500.0
1710,372402.0
1766,370878.0
2028,369900.0
1702,367294.0
2576,361919.0
1944,360000.0
3194,359100.0
2468,354000.0
2113,350000.0
2224,350000.0
2392,348000.0
2324,345000.0
2704,345000.0
2596,342643.0
2418,341000.0
2466,340000.0
2450,340000.0
2078,339750.0
1718,337500.0
2365,337000.0
2612,336000.0
2519,335000.0
2184,335000.0
1902,335000.0
2599,333168.0
1709,328900.0
2260,328000.0
1850,326000.0
2161,325624.0
2376,325300.0
2504,325000.0
2775,325000.0
2622,325000.0
1652,325000.0
1719,324000.0
3222,320000.0
2462,320000.0
1698,320000.0
1905,320000.0
1752,319900.0
1826,319000.0
1869,318061.0
1694,318000.0
1734,318000.0
2473,317000.0
2132,316600.0
2398,315750.0
1620,315500.0
2727,315000.0
2630,315000.0
1838,315000.0
1980,315000.0
1828,314813.0
2153,313000.0
1800,312500.0
1726,311872.0
1954,311500.0
2520,310000.0
2007,310000.0
2452,309000.0
1694,307000.0
1704,306000.0
2000,305900.0
2262,305000.0
2610,303477.0
1824,302000.0
2810,302000.0
1987,301500.0
2730,301000.0
2715,299800.0
1718,297000.0
1630,295493.0
3493,295000.0
2167,294000.0
1646,293077.0
2520,290000.0
2270,290000.0
2531,290000.0
1660,290000.0
2526,290000.0
1801,289000.0
1578,287090.0
2898,287000.0
2263,287000.0
1593,286000.0
1668,285000.0
2374,285000.0
2872,285000.0
1629,284000.0
2046,284000.0
1776,283463.0
1464,282922.0
2482,281213.0
1970,281000.0
1924,280000.0
2172,280000.0
1533,280000.0
1836,280000.0
1494,279500.0
2524,278000.0
1659,278000.0
1561,277500.0
2062,277000.0
2144,277000.0
2574,276000.0
2098,275500.0
1644,275000.0
1904,275000.0
1742,275000.0
1787,275000.0
1646,275000.0
2201,274970.0
1713,274900.0
2021,274725.0
2097,274300.0
1518,274000.0
1601,272000.0
2872,272000.0
2196,271900.0
1689,271000.0
2127,271000.0
1959,270000.0
1494,270000.0
1629,270000.0
2013,269790.0
1968,269500.0
2295,268000.0
2217,268000.0
2452,267000.0
2340,266500.0
1939,266000.0
1684,266000.0
2640,265979.0
1484,265900.0
2344,265000.0
1567,264561.0
1506,264132.0
1935,263435.0
2094,263000.0
1566,262500.0
2156,262500.0
2329,262280.0
1624,262000.0
1872,261500.0
1720,260400.0
2417,260000.0
1734,260000.0
2353,260000.0
2646,260000.0
1524,260000.0
1530,260000.0
2320,259500.0
1530,259000.0
2263,258000.0
1839,257500.0
1844,257000.0
1600,256300.0
1663,256000.0
2792,256000.0
2290,255900.0
1717,255500.0
1636,255000.0
1989,255000.0
1947,254900.0
1324,254000.0
2042,253293.0
1971,253000.0
1852,252678.0
1953,252000.0
1652,251000.0
1372,250580.0
2198,250000.0
1992,250000.0
1634,250000.0
2654,250000.0
2057,250000.0
2514,250000.0
1958,250000.0
2784,250000.0
1656,249700.0
1646,248900.0
1689,248328.0
2285,248000.0
1850,248000.0
1500,246578.0
1288,245500.0
1694,245350.0
1563,245000.0
1468,244600.0
2403,244400.0
2223,244000.0
2054,244000.0
2110,244000.0
2158,243000.0
2978,242000.0
2069,242000.0
1872,241500.0
1363,241500.0
1550,241000.0
1953,240000.0
2614,240000.0
2358,240000.0
1670,240000.0
1710,240000.0
2090,240000.0
1801,239900.0
1962,239799.0
2149,239686.0
2020,239500.0
1767,239000.0
1950,239000.0
2624,239000.0
1800,239000.0
2345,239000.0
1571,239000.0
2127,238000.0
2117,237500.0
1829,237000.0
2031,237000.0
1616,236500.0
1788,236500.0
2256,236000.0
1949,236000.0
1580,235128.0
1252,235000.0
3112,235000.0
1625,235000.0
2263,235000.0
2108,235000.0
1865,235000.0
1525,235000.0
2080,234000.0
1557,234000.0
1919,233230.0
1502,233170.0
2084,233000.0
1489,232600.0
1574,232000.0
1616,232000.0
1668,232000.0
1764,231500.0
1792,231500.0
1936,230500.0
1795,230000.0
1852,230000.0
2291,230000.0
1654,230000.0
1811,230000.0
1314,230000.0
1517,230000.0
1840,230000.0
1314,229456.0
2183,229000.0
1786,228950.0
1982,228500.0
2169,228500.0
1707,228000.0
2097,228000.0
1761,227875.0
1428,227680.0
1665,227000.0
1573,227000.0
1588,227000.0
1768,226700.0
1479,226000.0
2157,226000.0
1929,226000.0
2287,225000.0
2243,225000.0
2008,225000.0
1496,225000.0
1733,225000.0
1983,225000.0
1661,224900.0
1768,224900.0
1692,224500.0
1358,224000.0
1640,224000.0
1786,223500.0
1576,223500.0
1844,223000.0
2035,222500.0
2031,222500.0
1478,222000.0
1680,222000.0
2236,222000.0
1614,221500.0
1494,221000.0
1839,221000.0
1296,220000.0
1541,220000.0
1604,220000.0
1915,220000.0
1991,220000.0
2034,219500.0
1928,219500.0
1740,219500.0
1863,219210.0
1437,218000.0
1647,217500.0
2259,217000.0
1494,217000.0
1836,216837.0
1960,216500.0
1674,216000.0
1547,215200.0
1656,215000.0
1961,215000.0
1602,215000.0
1911,215000.0
1456,215000.0
1959,215000.0
1494,215000.0
2093,215000.0
1894,214900.0
2134,214500.0
1588,214000.0
1536,214000.0
1535,214000.0
2060,214000.0
1933,214000.0
1797,213500.0
1338,213500.0
1506,213490.0
1680,213250.0
1484,213000.0
1775,213000.0
1630,213000.0
1552,212900.0
1661,212000.0
1502,212000.0
1768,212000.0
2060,211000.0
1796,211000.0
1436,210000.0
1908,210000.0
1590,210000.0
1635,210000.0
2073,210000.0
1554,209500.0
1493,208900.0
1352,208900.0
1710,208500.0
1218,208300.0
1600,207500.0
1728,207500.0
1314,207500.0
2090,207500.0
1686,207500.0
1358,207000.0
1848,207000.0
2112,206900.0
1344,206300.0
1208,206000.0
1665,205950.0
1610,205000.0
2110,205000.0
1548,205000.0
1541,205000.0
1986,205000.0
1964,205000.0
1498,204900.0
1786,204750.0
1501,204000.0
1756,204000.0
1504,203000.0
1274,203000.0
1908,202900.0
1368,202665.0
1370,202500.0
1621,202500.0
1368,202500.0
1820,201800.0
1560,201000.0
1721,201000.0
1466,201000.0
2515,200624.0
1682,200500.0
3086,200500.0
1316,200141.0
1802,200100.0
2090,200000.0
2082,200000.0
2267,200000.0
3395,200000.0
1688,200000.0
1700,200000.0
1861,200000.0
2634,200000.0
1886,199900.0
1241,199900.0
1226,198900.0
1922,198500.0
1935,197900.0
1779,197900.0
1724,197900.0
1381,197500.0
1868,197500.0
1576,197000.0
3082,197000.0
1247,197000.0
1725,197000.0
1720,196500.0
1714,196500.0
1391,196000.0
1306,196000.0
1567,196000.0
1208,195400.0
2030,195000.0
1660,195000.0
1948,195000.0
1362,194700.0
1744,194500.0
1232,194500.0
1895,194500.0
1402,194201.0
1220,194000.0
1240,194000.0
1432,194000.0
1294,193879.0
2142,193500.0
1679,193500.0
1617,193000.0
1790,193000.0
1593,193000.0
1555,192500.0
1776,192500.0
1838,192140.0
1431,192000.0
2022,192000.0
1638,192000.0
1269,192000.0
1459,192000.0
1479,191000.0
1716,191000.0
1504,191000.0
2555,191000.0
1844,190000.0
1993,190000.0
1867,190000.0
1453,190000.0
1574,190000.0
1888,190000.0
1969,190000.0
1728,190000.0
1500,190000.0
