HeatingQC,SalePrice
Ex,755000.0
Ex,745000.0
Ex,625000.0
Ex,611657.0
Ex,582933.0
Ex,556581.0
Ex,555000.0
Ex,538000.0
Ex,501837.0
Ex,485000.0
Ex,475000.0
Ex,466500.0
Ex,465000.0
Ex,451950.0
Ex,446261.0
Ex,440000.0
Ex,438780.0
Ex,437154.0
Ex,430000.0
Ex,426000.0
Ex,424870.0
Ex,423000.0
Ex,415298.0
Ex,412500.0
Ex,410000.0
Ex,403000.0
Ex,402861.0
Ex,402000.0
Ex,395192.0
Gd,395000.0
Ex,394617.0
Ex,394432.0
Ex,392500.0
Ex,392000.0
Ex,386250.0
Gd,385000.0
Ex,385000.0
Ex,383970.0
Ex,381000.0
Ex,380000.0
Ex,378500.0
Ex,377500.0
Ex,377426.0
TA,375000.0
Ex,374000.0
Ex,372500.0
Ex,372402.0
Ex,370878.0
Ex,369900.0
Ex,367294.0
Ex,361919.0
Ex,360000.0
TA,359100.0
Ex,354000.0
Ex,350000.0
Ex,350000.0
Ex,348000.0
Ex,345000.0
Gd,345000.0
Ex,342643.0
Ex,341000.0
Ex,340000.0
Ex,340000.0
Ex,339750.0
Ex,337500.0
Ex,337000.0
Ex,336000.0
Ex,335000.0
Ex,335000.0
TA,335000.0
Ex,333168.0
Ex,328900.0
Ex,328000.0
Ex,326000.0
Ex,325624.0
Ex,325300.0
Ex,325000.0
Gd,325000.0
Ex,325000.0
Ex,325000.0
Ex,324000.0
Gd,320000.0
Ex,320000.0
Ex,320000.0
Ex,320000.0
Ex,319900.0
Ex,319000.0
Ex,318061.0
Ex,318000.0
Ex,318000.0
Ex,317000.0
Ex,316600.0
Ex,315750.0
Ex,315500.0
TA,315000.0
Gd,315000.0
Ex,315000.0
Ex,315000.0
Ex,314813.0
Ex,313000.0
Ex,312500.0
Ex,311872.0
Ex,311500.0
Ex,310000.0
Ex,310000.0
Ex,309000.0
Ex,307000.0
Ex,306000.0
Ex,305900.0
Ex,305000.0
Ex,303477.0
TA,302000.0
Ex,302000.0
Ex,301500.0
Ex,301000.0
Ex,299800.0
Ex,297000.0
Ex,295493.0
Ex,295000.0
TA,294000.0
Ex,293077.0
Ex,290000.0
Ex,290000.0
Ex,290000.0
Ex,290000.0
Ex,290000.0
TA,289000.0
Ex,287090.0
TA,287000.0
Ex,287000.0
Ex,286000.0
Ex,285000.0
Ex,285000.0
Ex,285000.0
Ex,284000.0
Ex,284000.0
Ex,283463.0
Ex,282922.0
Ex,281213.0
Ex,281000.0
Ex,280000.0
Ex,280000.0
TA,280000.0
Ex,280000.0
Ex,279500.0
TA,278000.0
Ex,278000.0
Ex,277500.0
Ex,277000.0
Gd,277000.0
Ex,276000.0
Gd,275500.0
Gd,275000.0
Ex,275000.0
TA,275000.0
Ex,275000.0
Ex,275000.0
TA,274970.0
Ex,274900.0
Ex,274725.0
Ex,274300.0
Ex,274000.0
Ex,272000.0
TA,272000.0
Gd,271900.0
Ex,271000.0
Ex,271000.0
Ex,270000.0
Ex,270000.0
Ex,270000.0
Ex,269790.0
Ex,269500.0
Ex,268000.0
Ex,268000.0
Ex,267000.0
Ex,266500.0
Gd,266000.0
Ex,266000.0
TA,265979.0
Ex,265900.0
Ex,265000.0
Ex,264561.0
Ex,264132.0
Ex,263435.0
Ex,263000.0
Ex,262500.0
TA,262500.0
Ex,262280.0
Ex,262000.0
Ex,261500.0
Ex,260400.0
Ex,260000.0
Ex,260000.0
TA,260000.0
Ex,260000.0
TA,260000.0
Ex,260000.0
Ex,259500.0
Ex,259000.0
Gd,258000.0
Ex,257500.0
Ex,257000.0
Ex,256300.0
Ex,256000.0
Ex,256000.0
Ex,255900.0
Ex,255500.0
Ex,255000.0
Ex,255000.0
Ex,254900.0
Ex,254000.0
Ex,253293.0
Ex,253000.0
Ex,252678.0
Ex,252000.0
Ex,251000.0
Ex,250580.0
Ex,250000.0
Ex,250000.0
Ex,250000.0
TA,250000.0
Gd,250000.0
Ex,250000.0
Ex,250000.0
TA,250000.0
Ex,249700.0
Ex,248900.0
Ex,248328.0
Ex,248000.0
Ex,248000.0
Ex,246578.0
Ex,245500.0
Ex,245350.0
Ex,245000.0
Ex,244600.0
Ex,244400.0
Ex,244000.0
Ex,244000.0
Ex,244000.0
TA,243000.0
