HouseStyle,SalePrice
2Story,755000.0
2Story,745000.0
2Story,625000.0
1Story,611657.0
2Story,582933.0
2Story,556581.0
1Story,555000.0
2Story,538000.0
1Story,501837.0
2Story,485000.0
2.5Fin,475000.0
1Story,466500.0
1Story,465000.0
2Story,451950.0
2Story,446261.0
1Story,440000.0
2Story,438780.0
2Story,437154.0
1Story,430000.0
2Story,426000.0
2Story,424870.0
1Story,423000.0
1Story,415298.0
2Story,412500.0
1.5Fin,410000.0
2Story,403000.0
1Story,402861.0
2Story,402000.0
1Story,395192.0
1Story,395000.0
1Story,394617.0
1Story,394432.0
1Story,392500.0
1Story,392000.0
1Story,386250.0
1Story,385000.0
1Story,385000.0
2Story,383970.0
1.5Fin,381000.0
2Story,380000.0
1Story,378500.0
1Story,377500.0
1Story,377426.0
1Story,375000.0
1Story,374000.0
1Story,372500.0
1Story,372402.0
1Story,370878.0
1Story,369900.0
1Story,367294.0
2Story,361919.0
1Story,360000.0
2Story,359100.0
2Story,354000.0
1Story,350000.0
2Story,350000.0
2Story,348000.0
2Story,345000.0
SLvl,345000.0
2Story,342643.0
2Story,341000.0
2Story,340000.0
2Story,340000.0
2Story,339750.0
1Story,337500.0
2Story,337000.0
2Story,336000.0
2Story,335000.0
2Story,335000.0
1Story,335000.0
2Story,333168.0
1Story,328900.0
2Story,328000.0
1Story,326000.0
2Story,325624.0
2Story,325300.0
2Story,325000.0
2.5Unf,325000.0
2Story,325000.0
1Story,325000.0
1Story,324000.0
2Story,320000.0
2Story,320000.0
1Story,320000.0
1Story,320000.0
1Story,319900.0
1Story,319000.0
1Story,318061.0
1Story,318000.0
1Story,318000.0
2Story,317000.0
1.5Fin,316600.0
2Story,315750.0
1Story,315500.0
2Story,315000.0
2Story,315000.0
1Story,315000.0
1Story,315000.0
1Story,314813.0
2Story,313000.0
1Story,312500.0
1Story,311872.0
1.5Fin,311500.0
2Story,310000.0
2Story,310000.0
2Story,309000.0
1Story,307000.0
1Story,306000.0
1Story,305900.0
2Story,305000.0
2Story,303477.0
1Story,302000.0
2Story,302000.0
1Story,301500.0
2Story,301000.0
2Story,299800.0
1Story,297000.0
1Story,295493.0
2.5Fin,295000.0
2Story,294000.0
1Story,293077.0
2Story,290000.0
2Story,290000.0
2Story,290000.0
1Story,290000.0
2Story,290000.0
1Story,289000.0
1Story,287090.0
1Story,287000.0
2Story,287000.0
1Story,286000.0
1Story,285000.0
2Story,285000.0
1.5Fin,285000.0
1Story,284000.0
2Story,284000.0
1Story,283463.0
1Story,282922.0
2Story,281213.0
2Story,281000.0
2Story,280000.0
2Story,280000.0
1Story,280000.0
1Story,280000.0
1Story,279500.0
1Story,278000.0
1Story,278000.0
1Story,277500.0
2Story,277000.0
1.5Fin,277000.0
2Story,276000.0
2Story,275500.0
SLvl,275000.0
2Story,275000.0
1Story,275000.0
1Story,275000.0
1Story,275000.0
SLvl,274970.0
1Story,274900.0
2Story,274725.0
2Story,274300.0
1Story,274000.0
1Story,272000.0
2Story,272000.0
1Story,271900.0
1Story,271000.0
2Story,271000.0
2Story,270000.0
1Story,270000.0
1Story,270000.0
2Story,269790.0
2Story,269500.0
2Story,268000.0
1Story,268000.0
2Story,267000.0
2Story,266500.0
2Story,266000.0
1Story,266000.0
2Story,265979.0
1Story,265900.0
