LotConfig,SalePrice
Corner,755000.0
Corner,745000.0
CulDSac,625000.0
Inside,611657.0
Inside,582933.0
Inside,556581.0
Inside,555000.0
CulDSac,538000.0
CulDSac,501837.0
Inside,485000.0
Inside,475000.0
Inside,466500.0
Inside,465000.0
Corner,451950.0
Inside,446261.0
Inside,440000.0
CulDSac,438780.0
Inside,437154.0
Inside,430000.0
Inside,426000.0
Inside,424870.0
CulDSac,423000.0
Inside,415298.0
Inside,412500.0
CulDSac,410000.0
Inside,403000.0
Inside,402861.0
CulDSac,402000.0
Inside,395192.0
Corner,395000.0
FR2,394617.0
Corner,394432.0
Inside,392500.0
Inside,392000.0
Inside,386250.0
Inside,385000.0
Inside,385000.0
Inside,383970.0
Inside,381000.0
Inside,380000.0
Inside,378500.0
CulDSac,377500.0
Corner,377426.0
Inside,375000.0
Inside,374000.0
Inside,372500.0
Inside,372402.0
Inside,370878.0
Inside,369900.0
Corner,367294.0
Inside,361919.0
Inside,360000.0
Inside,359100.0
Inside,354000.0
Inside,350000.0
Inside,350000.0
Inside,348000.0
Inside,345000.0
Inside,345000.0
Corner,342643.0
Inside,341000.0
Corner,340000.0
Inside,340000.0
Inside,339750.0
FR2,337500.0
Inside,337000.0
Corner,336000.0
Inside,335000.0
Inside,335000.0
Inside,335000.0
Corner,333168.0
CulDSac,328900.0
Inside,328000.0
FR2,326000.0
Inside,325624.0
Corner,325300.0
Inside,325000.0
Inside,325000.0
Corner,325000.0
Corner,325000.0
CulDSac,324000.0
Corner,320000.0
Corner,320000.0
Inside,320000.0
Corner,320000.0
Inside,319900.0
Inside,319000.0
Inside,318061.0
Inside,318000.0
Inside,318000.0
Inside,317000.0
Inside,316600.0
Inside,315750.0
Inside,315500.0
Inside,315000.0
Inside,315000.0
Inside,315000.0
FR3,315000.0
Inside,314813.0
Inside,313000.0
Inside,312500.0
Inside,311872.0
Corner,311500.0
Corner,310000.0
Inside,310000.0
Inside,309000.0
Inside,307000.0
Inside,306000.0
Inside,305900.0
Inside,305000.0
Inside,303477.0
CulDSac,302000.0
Inside,302000.0
Corner,301500.0
Inside,301000.0
Inside,299800.0
Inside,297000.0
Inside,295493.0
Inside,295000.0
Inside,294000.0
Inside,293077.0
Inside,290000.0
CulDSac,290000.0
Inside,290000.0
CulDSac,290000.0
Inside,290000.0
Inside,289000.0
Inside,287090.0
Corner,287000.0
Inside,287000.0
Inside,286000.0
Corner,285000.0
Inside,285000.0
Inside,285000.0
Inside,284000.0
Inside,284000.0
Corner,283463.0
CulDSac,282922.0
Inside,281213.0
Inside,281000.0
CulDSac,280000.0
Corner,280000.0
Inside,280000.0
Inside,280000.0
Inside,279500.0
Inside,278000.0
Inside,278000.0
Inside,277500.0
Inside,277000.0
CulDSac,277000.0
Inside,276000.0
Inside,275500.0
Inside,275000.0
Inside,275000.0
CulDSac,275000.0
CulDSac,275000.0
Inside,275000.0
CulDSac,274970.0
Inside,274900.0
CulDSac,274725.0
Corner,274300.0
Inside,274000.0
Inside,272000.0
Corner,272000.0
CulDSac,271900.0
CulDSac,271000.0
Inside,271000.0
Inside,270000.0
CulDSac,270000.0
Inside,270000.0
CulDSac,269790.0
Corner,269500.0
CulDSac,268000.0
Inside,268000.0
Inside,267000.0
Inside,266500.0
Inside,266000.0
Inside,266000.0
Corner,265979.0
Inside,265900.0
Inside,265000.0
Inside,264561.0
Inside,264132.0
Inside,263435.0
Inside,263000.0
Inside,262500.0
CulDSac,262500.0
Inside,262280.0
Corner,262000.0
Inside,261500.0
Inside,260400.0
Corner,260000.0
Inside,260000.0
Corner,260000.0
Inside,260000.0
Inside,260000.0
Inside,260000.0
Inside,259500.0
Corner,259000.0
Corner,258000.0
Inside,257500.0
Corner,257000.0
Corner,256300.0
CulDSac,256000.0
Corner,256000.0
Corner,255900.0
Inside,255500.0
Corner,255000.0
Corner,255000.0
Corner,254900.0
Inside,254000.0
Inside,253293.0
Inside,253000.0
Inside,252678.0
Inside,252000.0
Inside,251000.0
Inside,250580.0
FR2,250000.0
Inside,250000.0
Inside,250000.0
Corner,250000.0
Inside,250000.0
Corner,250000.0
Inside,250000.0
Inside,250000.0
Inside,249700.0
Inside,248900.0
Inside,248328.0
FR2,248000.0
FR2,248000.0
Inside,246578.0
Inside,245500.0
Corner,245350.0
Inside,245000.0
Inside,244600.0
Inside,244400.0
Inside,244000.0
Corner,244000.0
Corner,244000.0
Corner,243000.0
Corner,242000.0
Inside,242000.0
Inside,241500.0
CulDSac,241500.0
Inside,241000.0
Corner,240000.0
Inside,240000.0
Inside,240000.0
CulDSac,240000.0
CulDSac,240000.0
Inside,240000.0
CulDSac,239900.0
Inside,239799.0
CulDSac,239686.0
Inside,239500.0
Inside,239000.0
Inside,239000.0
Inside,239000.0
Corner,239000.0
Inside,239000.0
Inside,239000.0
Corner,238000.0
Corner,237500.0
CulDSac,237000.0
Inside,237000.0
Inside,236500.0
Inside,236500.0
Inside,236000.0
Inside,236000.0
FR2,235128.0
Inside,235000.0
Corner,235000.0
Inside,235000.0
Corner,235000.0
Corner,235000.0
Inside,235000.0
Inside,235000.0
Inside,234000.0
Inside,234000.0
Inside,233230.0
Inside,233170.0
Inside,233000.0
Inside,232600.0
Inside,232000.0
Inside,232000.0
FR2,232000.0
Inside,231500.0
Inside,231500.0
Corner,230500.0
Inside,230000.0
Inside,230000.0
Inside,230000.0
Inside,230000.0
Inside,230000.0
Inside,230000.0
Corner,230000.0
Inside,230000.0
Inside,229456.0
Corner,229000.0
Corner,228950.0
Inside,228500.0
Inside,228500.0
Corner,228000.0
CulDSac,228000.0
Inside,227875.0
FR2,227680.0
Inside,227000.0
Inside,227000.0
Inside,227000.0
Inside,226700.0
Inside,226000.0
Corner,226000.0
Inside,226000.0
Corner,225000.0
Inside,225000.0
Inside,225000.0
Inside,225000.0
Corner,225000.0
CulDSac,225000.0
CulDSac,224900.0
Inside,224900.0
Corner,224500.0
Inside,224000.0
CulDSac,224000.0
Inside,223500.0
Inside,223500.0
Inside,223000.0
CulDSac,222500.0
Inside,222500.0
Inside,222000.0
Corner,222000.0
Corner,222000.0
Inside,221500.0
Inside,221000.0
CulDSac,221000.0
Inside,220000.0
Corner,220000.0
Inside,220000.0
Inside,220000.0
Corner,220000.0
Inside,219500.0
Inside,219500.0
Inside,219500.0
Inside,219210.0
Corner,218000.0
Inside,217500.0
Corner,217000.0
Inside,217000.0
Inside,216837.0
Inside,216500.0
Inside,216000.0
Inside,215200.0
Corner,215000.0
CulDSac,215000.0
FR2,215000.0
Inside,215000.0
Inside,215000.0
Inside,215000.0
Inside,215000.0
CulDSac,215000.0
Corner,214900.0
Inside,214500.0
Inside,214000.0
Inside,214000.0
Inside,214000.0
FR2,214000.0
CulDSac,214000.0
Inside,213500.0
Inside,213500.0
Inside,213490.0
Inside,213250.0
Inside,213000.0
Inside,213000.0
Inside,213000.0
Inside,212900.0
CulDSac,212000.0
Corner,212000.0
Inside,212000.0
Corner,211000.0
CulDSac,211000.0
Inside,210000.0
Inside,210000.0
Inside,210000.0
Inside,210000.0
Inside,210000.0
Inside,209500.0
Inside,208900.0
Corner,208900.0
Inside,208500.0
Inside,208300.0
CulDSac,207500.0
Inside,207500.0
Inside,207500.0
CulDSac,207500.0
Inside,207500.0
FR3,207000.0
Inside,207000.0
Inside,206900.0
Inside,206300.0
Inside,206000.0
Inside,205950.0
Inside,205000.0
Inside,205000.0
Inside,205000.0
Corner,205000.0
Inside,205000.0
Inside,205000.0
Inside,204900.0
Inside,204750.0
Inside,204000.0
Corner,204000.0
Inside,203000.0
