LotShape,SalePrice
IR1,755000.0
IR1,745000.0
IR1,625000.0
IR1,611657.0
Reg,582933.0
IR1,556581.0
Reg,555000.0
IR2,538000.0
IR1,501837.0
Reg,485000.0
IR2,475000.0
Reg,466500.0
Reg,465000.0
IR1,451950.0
IR1,446261.0
IR1,440000.0
IR2,438780.0
IR2,437154.0
IR1,430000.0
Reg,426000.0
Reg,424870.0
IR2,423000.0
Reg,415298.0
IR1,412500.0
IR1,410000.0
IR1,403000.0
Reg,402861.0
IR2,402000.0
IR1,395192.0
Reg,395000.0
Reg,394617.0
Reg,394432.0
IR1,392500.0
Reg,392000.0
Reg,386250.0
IR1,385000.0
Reg,385000.0
Reg,383970.0
IR1,381000.0
Reg,380000.0
IR1,378500.0
IR1,377500.0
IR1,377426.0
IR3,375000.0
IR1,374000.0
IR1,372500.0
Reg,372402.0
Reg,370878.0
Reg,369900.0
Reg,367294.0
IR1,361919.0
IR1,360000.0
Reg,359100.0
IR1,354000.0
IR1,350000.0
Reg,350000.0
Reg,348000.0
IR1,345000.0
Reg,345000.0
Reg,342643.0
Reg,341000.0
IR1,340000.0
IR1,340000.0
Reg,339750.0
Reg,337500.0
Reg,337000.0
IR1,336000.0
IR1,335000.0
IR1,335000.0
Reg,335000.0
IR1,333168.0
IR1,328900.0
Reg,328000.0
IR1,326000.0
Reg,325624.0
IR1,325300.0
IR1,325000.0
Reg,325000.0
IR1,325000.0
IR1,325000.0
IR1,324000.0
Reg,320000.0
IR1,320000.0
IR1,320000.0
IR1,320000.0
Reg,319900.0
IR1,319000.0
IR1,318061.0
Reg,318000.0
Reg,318000.0
Reg,317000.0
IR1,316600.0
IR1,315750.0
IR1,315500.0
Reg,315000.0
Reg,315000.0
Reg,315000.0
Reg,315000.0
Reg,314813.0
Reg,313000.0
Reg,312500.0
Reg,311872.0
IR1,311500.0
IR1,310000.0
Reg,310000.0
Reg,309000.0
Reg,307000.0
Reg,306000.0
Reg,305900.0
Reg,305000.0
Reg,303477.0
IR2,302000.0
IR1,302000.0
IR1,301500.0
IR1,301000.0
IR1,299800.0
Reg,297000.0
IR1,295493.0
Reg,295000.0
IR1,294000.0
IR1,293077.0
IR1,290000.0
IR1,290000.0
IR1,290000.0
IR1,290000.0
Reg,290000.0
IR1,289000.0
Reg,287090.0
IR1,287000.0
Reg,287000.0
Reg,286000.0
IR1,285000.0
Reg,285000.0
Reg,285000.0
IR1,284000.0
Reg,284000.0
IR1,283463.0
IR1,282922.0
IR1,281213.0
IR1,281000.0
IR1,280000.0
Reg,280000.0
IR1,280000.0
IR1,280000.0
IR1,279500.0
Reg,278000.0
IR1,278000.0
Reg,277500.0
IR1,277000.0
IR2,277000.0
IR1,276000.0
Reg,275500.0
Reg,275000.0
Reg,275000.0
IR1,275000.0
IR2,275000.0
IR1,275000.0
IR1,274970.0
Reg,274900.0
IR3,274725.0
Reg,274300.0
IR1,274000.0
Reg,272000.0
IR1,272000.0
IR1,271900.0
IR1,271000.0
IR1,271000.0
Reg,270000.0
IR1,270000.0
Reg,270000.0
IR1,269790.0
Reg,269500.0
IR1,268000.0
IR1,268000.0
IR3,267000.0
Reg,266500.0
Reg,266000.0
IR1,266000.0
IR1,265979.0
IR1,265900.0
IR1,265000.0
Reg,264561.0
IR1,264132.0
IR1,263435.0
Reg,263000.0
Reg,262500.0
IR2,262500.0
Reg,262280.0
Reg,262000.0
Reg,261500.0
IR1,260400.0
Reg,260000.0
Reg,260000.0
IR1,260000.0
Reg,260000.0
Reg,260000.0
IR1,260000.0
IR1,259500.0
IR3,259000.0
Reg,258000.0
Reg,257500.0
IR1,257000.0
Reg,256300.0
IR1,256000.0
Reg,256000.0
Reg,255900.0
IR1,255500.0
IR1,255000.0
Reg,255000.0
Reg,254900.0
Reg,254000.0
Reg,253293.0
Reg,253000.0
Reg,252678.0
Reg,252000.0
Reg,251000.0
Reg,250580.0
IR1,250000.0
Reg,250000.0
IR1,250000.0
IR1,250000.0
IR1,250000.0
IR2,250000.0
Reg,250000.0
IR1,250000.0
Reg,249700.0
IR1,248900.0
Reg,248328.0
Reg,248000.0
IR2,248000.0
Reg,246578.0
IR2,245500.0
IR1,245350.0
Reg,245000.0
Reg,244600.0
Reg,244400.0
IR1,244000.0
IR1,244000.0
Reg,244000.0
Reg,243000.0
Reg,242000.0
IR2,242000.0
Reg,241500.0
IR1,241500.0
Reg,241000.0
IR2,240000.0
Reg,240000.0
IR2,240000.0
IR1,240000.0
