MasVnrType,SalePrice
BrkFace,755000.0
None,745000.0
BrkFace,625000.0
Stone,611657.0
Stone,582933.0
Stone,556581.0
Stone,555000.0
BrkFace,538000.0
Stone,501837.0
Stone,485000.0
None,475000.0
BrkFace,466500.0
Stone,465000.0
Stone,451950.0
Stone,446261.0
BrkFace,440000.0
BrkFace,438780.0
BrkFace,437154.0
None,430000.0
Stone,426000.0
Stone,424870.0
None,423000.0
BrkFace,415298.0
BrkFace,412500.0
BrkFace,410000.0
BrkFace,403000.0
BrkFace,402861.0
BrkFace,402000.0
Stone,395192.0
BrkFace,395000.0
Stone,394617.0
Stone,394432.0
Stone,392500.0
BrkFace,392000.0
BrkFace,386250.0
None,385000.0
BrkFace,385000.0
Stone,383970.0
BrkFace,381000.0
BrkFace,380000.0
None,378500.0
Stone,377500.0
Stone,377426.0
None,375000.0
BrkFace,374000.0
Stone,372500.0
Stone,372402.0
Stone,370878.0
BrkFace,369900.0
BrkFace,367294.0
BrkFace,361919.0
None,360000.0
None,359100.0
BrkFace,354000.0
BrkFace,350000.0
Stone,350000.0
BrkFace,348000.0
Stone,345000.0
None,345000.0
Stone,342643.0
BrkFace,341000.0
None,340000.0
BrkFace,340000.0
Stone,339750.0
Stone,337500.0
BrkFace,337000.0
BrkFace,336000.0
BrkFace,335000.0
Stone,335000.0
None,335000.0
BrkFace,333168.0
BrkFace,328900.0
None,328000.0
BrkFace,326000.0
Stone,325624.0
BrkFace,325300.0
BrkFace,325000.0
None,325000.0
BrkFace,325000.0
Stone,325000.0
None,324000.0
None,320000.0
BrkFace,320000.0
Stone,320000.0
Stone,320000.0
BrkFace,319900.0
BrkFace,319000.0
BrkFace,318061.0
BrkFace,318000.0
Stone,318000.0
BrkFace,317000.0
None,316600.0
BrkFace,315750.0
Stone,315500.0
None,315000.0
BrkFace,315000.0
BrkFace,315000.0
BrkFace,315000.0
BrkFace,314813.0
BrkFace,313000.0
BrkFace,312500.0
Stone,311872.0
BrkFace,311500.0
None,310000.0
Stone,310000.0
Stone,309000.0
Stone,307000.0
Stone,306000.0
Stone,305900.0
Stone,305000.0
None,303477.0
Stone,302000.0
BrkFace,302000.0
BrkFace,301500.0
BrkFace,301000.0
BrkFace,299800.0
Stone,297000.0
Stone,295493.0
None,295000.0
None,294000.0
Stone,293077.0
BrkFace,290000.0
BrkFace,290000.0
BrkFace,290000.0
Stone,290000.0
BrkFace,290000.0
None,289000.0
Stone,287090.0
None,287000.0
BrkFace,287000.0
None,286000.0
Stone,285000.0
BrkFace,285000.0
BrkFace,285000.0
BrkFace,284000.0
BrkFace,284000.0
Stone,283463.0
Stone,282922.0
BrkFace,281213.0
Stone,281000.0
BrkFace,280000.0
BrkFace,280000.0
None,280000.0
Stone,280000.0
Stone,279500.0
None,278000.0
None,278000.0
BrkFace,277500.0
BrkFace,277000.0
BrkCmn,277000.0
Stone,276000.0
BrkFace,275500.0
BrkFace,275000.0
BrkFace,275000.0
None,275000.0
BrkFace,275000.0
Stone,275000.0
None,274970.0
BrkFace,274900.0
None,274725.0
None,274300.0
BrkFace,274000.0
BrkFace,272000.0
BrkFace,272000.0
BrkFace,271900.0
BrkFace,271000.0
BrkFace,271000.0
None,270000.0
None,270000.0
BrkFace,270000.0
None,269790.0
BrkFace,269500.0
None,268000.0
None,268000.0
None,267000.0
None,266500.0
None,266000.0
BrkFace,266000.0
None,265979.0
BrkFace,265900.0
BrkFace,265000.0
None,264561.0
Stone,264132.0
Stone,263435.0
None,263000.0
Stone,262500.0
None,262500.0
BrkFace,262280.0
None,262000.0
BrkFace,261500.0
BrkFace,260400.0
BrkFace,260000.0
None,260000.0
BrkFace,260000.0
BrkFace,260000.0
None,260000.0
Stone,260000.0
None,259500.0
None,259000.0
BrkFace,258000.0
BrkFace,257500.0
Stone,257000.0
Stone,256300.0
None,256000.0
None,256000.0
None,255900.0
Stone,255500.0
Stone,255000.0
BrkFace,255000.0
None,254900.0
BrkFace,254000.0
BrkFace,253293.0
None,253000.0
None,252678.0
None,252000.0
None,251000.0
None,250580.0
BrkFace,250000.0
BrkFace,250000.0
Stone,250000.0
BrkFace,250000.0
None,250000.0
None,250000.0
None,250000.0
BrkFace,250000.0
None,249700.0
Stone,248900.0
Stone,248328.0
BrkFace,248000.0
None,248000.0
BrkFace,246578.0
None,245500.0
Stone,245350.0
Stone,245000.0
Stone,244600.0
None,244400.0
BrkFace,244000.0
BrkFace,244000.0
None,244000.0
None,243000.0
BrkFace,242000.0
None,242000.0
BrkFace,241500.0
None,241500.0
Stone,241000.0
None,240000.0
None,240000.0
None,240000.0
BrkFace,240000.0
Stone,240000.0
BrkFace,240000.0
None,239900.0
None,239799.0
None,239686.0
None,239500.0
None,239000.0
BrkFace,239000.0
None,239000.0
None,239000.0
None,239000.0
BrkFace,239000.0
None,238000.0
None,237500.0
BrkFace,237000.0
Stone,237000.0
None,236500.0
None,236500.0
None,236000.0
BrkFace,236000.0
Stone,235128.0
None,235000.0
None,235000.0
Stone,235000.0
BrkFace,235000.0
None,235000.0
None,235000.0
BrkFace,235000.0
None,234000.0
BrkFace,234000.0
None,233230.0
Stone,233170.0
None,233000.0
None,232600.0
BrkFace,232000.0
BrkFace,232000.0
BrkFace,232000.0
None,231500.0
BrkFace,231500.0
