Neighborhood,SalePrice
NoRidge,755000.0
NoRidge,745000.0
NoRidge,625000.0
NridgHt,611657.0
NridgHt,582933.0
StoneBr,556581.0
NridgHt,555000.0
StoneBr,538000.0
StoneBr,501837.0
NridgHt,485000.0
OldTown,475000.0
NoRidge,466500.0
NridgHt,465000.0
NridgHt,451950.0
NridgHt,446261.0
NridgHt,440000.0
StoneBr,438780.0
NridgHt,437154.0
NoRidge,430000.0
NridgHt,426000.0
CollgCr,424870.0
Somerst,423000.0
NridgHt,415298.0
NridgHt,412500.0
NoRidge,410000.0
NoRidge,403000.0
NridgHt,402861.0
NoRidge,402000.0
NridgHt,395192.0
NridgHt,395000.0
NridgHt,394617.0
StoneBr,394432.0
Crawfor,392500.0
StoneBr,392000.0
NridgHt,386250.0
Veenker,385000.0
NridgHt,385000.0
CollgCr,383970.0
Crawfor,381000.0
NridgHt,380000.0
Timber,378500.0
Gilbert,377500.0
StoneBr,377426.0
Timber,375000.0
NridgHt,374000.0
StoneBr,372500.0
NridgHt,372402.0
Somerst,370878.0
Timber,369900.0
NridgHt,367294.0
StoneBr,361919.0
NridgHt,360000.0
Crawfor,359100.0
NridgHt,354000.0
NoRidge,350000.0
NridgHt,350000.0
NoRidge,348000.0
NridgHt,345000.0
NAmes,345000.0
NridgHt,342643.0
NoRidge,341000.0
Somerst,340000.0
NoRidge,340000.0
Somerst,339750.0
NridgHt,337500.0
NoRidge,337000.0
NoRidge,336000.0
Timber,335000.0
NridgHt,335000.0
Crawfor,335000.0
NoRidge,333168.0
Somerst,328900.0
ClearCr,328000.0
NridgHt,326000.0
NridgHt,325624.0
NridgHt,325300.0
StoneBr,325000.0
OldTown,325000.0
NoRidge,325000.0
NridgHt,325000.0
Veenker,324000.0
SawyerW,320000.0
Gilbert,320000.0
Edwards,320000.0
Somerst,320000.0
NridgHt,319900.0
StoneBr,319000.0
NridgHt,318061.0
NridgHt,318000.0
NridgHt,318000.0
NridgHt,317000.0
SawyerW,316600.0
NoRidge,315750.0
Timber,315500.0
Crawfor,315000.0
NoRidge,315000.0
Timber,315000.0
NridgHt,315000.0
NridgHt,314813.0
CollgCr,313000.0
Timber,312500.0
Somerst,311872.0
Crawfor,311500.0
NoRidge,310000.0
Somerst,310000.0
NridgHt,309000.0
Somerst,307000.0
NridgHt,306000.0
CollgCr,305900.0
Timber,305000.0
Somerst,303477.0
ClearCr,302000.0
NoRidge,302000.0
NoRidge,301500.0
SawyerW,301000.0
NWAmes,299800.0
CollgCr,297000.0
CollgCr,295493.0
OldTown,295000.0
Veenker,294000.0
Timber,293077.0
NoRidge,290000.0
NoRidge,290000.0
NoRidge,290000.0
Somerst,290000.0
NoRidge,290000.0
Crawfor,289000.0
Somerst,287090.0
Timber,287000.0
CollgCr,287000.0
StoneBr,286000.0
CollgCr,285000.0
NridgHt,285000.0
NoRidge,285000.0
NridgHt,284000.0
NridgHt,284000.0
Timber,283463.0
Somerst,282922.0
Timber,281213.0
NridgHt,281000.0
NoRidge,280000.0
NridgHt,280000.0
ClearCr,280000.0
NridgHt,280000.0
CollgCr,279500.0
NWAmes,278000.0
StoneBr,278000.0
NridgHt,277500.0
SawyerW,277000.0
ClearCr,277000.0
CollgCr,276000.0
NridgHt,275500.0
SawyerW,275000.0
NridgHt,275000.0
StoneBr,275000.0
CollgCr,275000.0
Crawfor,275000.0
Edwards,274970.0
NridgHt,274900.0
Gilbert,274725.0
CollgCr,274300.0
NridgHt,274000.0
CollgCr,272000.0
NWAmes,272000.0
SawyerW,271900.0
Mitchel,271000.0
NoRidge,271000.0
Somerst,270000.0
Veenker,270000.0
Timber,270000.0
NoRidge,269790.0
Timber,269500.0
NoRidge,268000.0
NAmes,268000.0
CollgCr,267000.0
Crawfor,266500.0
Somerst,266000.0
NridgHt,266000.0
OldTown,265979.0
Timber,265900.0
NoRidge,265000.0
Blmngtn,264561.0
Somerst,264132.0
Somerst,263435.0
Somerst,263000.0
Somerst,262500.0
NWAmes,262500.0
SawyerW,262280.0
NoRidge,262000.0
CollgCr,261500.0
NoRidge,260400.0
NoRidge,260000.0
CollgCr,260000.0
NWAmes,260000.0
NoRidge,260000.0
ClearCr,260000.0
StoneBr,260000.0
Crawfor,259500.0
Gilbert,259000.0
NoRidge,258000.0
Crawfor,257500.0
SawyerW,257000.0
NridgHt,256300.0
ClearCr,256000.0
OldTown,256000.0
CollgCr,255900.0
NridgHt,255500.0
Somerst,255000.0
CollgCr,255000.0
Somerst,254900.0
NridgHt,254000.0
NridgHt,253293.0
Somerst,253000.0
Somerst,252678.0
Somerst,252000.0
StoneBr,251000.0
Somerst,250580.0
NoRidge,250000.0
Somerst,250000.0
NridgHt,250000.0
NWAmes,250000.0
Crawfor,250000.0
Timber,250000.0
Somerst,250000.0
NWAmes,250000.0
Somerst,249700.0
Timber,248900.0
Somerst,248328.0
NoRidge,248000.0
NoRidge,248000.0
Blmngtn,246578.0
Veenker,245500.0
CollgCr,245350.0
Somerst,245000.0
Somerst,244600.0
ClearCr,244400.0
NAmes,244000.0
Gilbert,244000.0
NAmes,244000.0
Edwards,243000.0
NAmes,242000.0
NAmes,242000.0
NWAmes,241500.0
ClearCr,241500.0
Somerst,241000.0
ClearCr,240000.0
NWAmes,240000.0
ClearCr,240000.0
Gilbert,240000.0
Mitchel,240000.0
CollgCr,240000.0
Gilbert,239900.0
CollgCr,239799.0
Mitchel,239686.0
SawyerW,239500.0
StoneBr,239000.0
Somerst,239000.0
Crawfor,239000.0
CollgCr,239000.0
Crawfor,239000.0
Timber,239000.0
SawyerW,238000.0
NAmes,237500.0
CollgCr,237000.0
CollgCr,237000.0
StoneBr,236500.0
CollgCr,236500.0
Gilbert,236000.0
SawyerW,236000.0
Somerst,235128.0
ClearCr,235000.0
NAmes,235000.0
Crawfor,235000.0
NWAmes,235000.0
Edwards,235000.0
CollgCr,235000.0
CollgCr,235000.0
Crawfor,234000.0
Blmngtn,234000.0
CollgCr,233230.0
NridgHt,233170.0
SawyerW,233000.0
Somerst,232600.0
Somerst,232000.0
Somerst,232000.0
CollgCr,232000.0
CollgCr,231500.0
CollgCr,231500.0
Gilbert,230500.0
CollgCr,230000.0
CollgCr,230000.0
Gilbert,230000.0
CollgCr,230000.0
Crawfor,230000.0
NridgHt,230000.0
Crawfor,230000.0
CollgCr,230000.0
Somerst,229456.0
NWAmes,229000.0
Timber,228950.0
SawyerW,228500.0
CollgCr,228500.0
Timber,228000.0
SawyerW,228000.0
Somerst,227875.0
Somerst,227680.0
NWAmes,227000.0
CollgCr,227000.0
Somerst,227000.0
Somerst,226700.0
CollgCr,226000.0
NAmes,226000.0
Somerst,226000.0
ClearCr,225000.0
SawyerW,225000.0
Edwards,225000.0
Somerst,225000.0
Gilbert,225000.0
Gilbert,225000.0
CollgCr,224900.0
CollgCr,224900.0
Timber,224500.0
NridgHt,224000.0
Crawfor,224000.0
CollgCr,223500.0
BrkSide,223500.0
Crawfor,223000.0
Gilbert,222500.0
CollgCr,222500.0
Somerst,222000.0
Crawfor,222000.0
Gilbert,222000.0
CollgCr,221500.0
CollgCr,221000.0
NoRidge,221000.0
Timber,220000.0
NridgHt,220000.0
CollgCr,220000.0
SawyerW,220000.0
Crawfor,220000.0
CollgCr,219500.0
CollgCr,219500.0
Crawfor,219500.0
Gilbert,219210.0
Veenker,218000.0
Crawfor,217500.0
Crawfor,217000.0
CollgCr,217000.0
CollgCr,216837.0
Gilbert,216500.0
Somerst,216000.0
Somerst,215200.0
NAmes,215000.0
Mitchel,215000.0
NWAmes,215000.0
SawyerW,215000.0
Blmngtn,215000.0
Gilbert,215000.0
SawyerW,215000.0
NWAmes,215000.0
Timber,214900.0
BrkSide,214500.0
CollgCr,214000.0
CollgCr,214000.0
NridgHt,214000.0
Gilbert,214000.0
Somerst,214000.0
CollgCr,213500.0
StoneBr,213500.0
Blmngtn,213490.0
NWAmes,213250.0
CollgCr,213000.0
SawyerW,213000.0
CollgCr,213000.0
CollgCr,212900.0
CollgCr,212000.0
StoneBr,212000.0
CollgCr,212000.0
ClearCr,211000.0
CollgCr,211000.0
CollgCr,210000.0
CollgCr,210000.0
Somerst,210000.0
BrkSide,210000.0
NWAmes,210000.0
NridgHt,209500.0
CollgCr,208900.0
Somerst,208900.0
CollgCr,208500.0
Somerst,208300.0
NAmes,207500.0
Somerst,207500.0
NridgHt,207500.0
StoneBr,207500.0
NWAmes,207500.0
NridgHt,207000.0
BrkSide,207000.0
NAmes,206900.0
Mitchel,206300.0
CollgCr,206000.0
Somerst,205950.0
NWAmes,205000.0
SawyerW,205000.0
BrkSide,205000.0
CollgCr,205000.0
NAmes,205000.0
NWAmes,205000.0
CollgCr,204900.0
CollgCr,204750.0
CollgCr,204000.0
Timber,204000.0
CollgCr,203000.0
CollgCr,203000.0
Timber,202900.0
NridgHt,202665.0
NridgHt,202500.0
NWAmes,202500.0
NridgHt,202500.0
NAmes,201800.0
Mitchel,201000.0
SawyerW,201000.0
Timber,201000.0
Crawfor,200624.0
CollgCr,200500.0
ClearCr,200500.0
CollgCr,200141.0
Crawfor,200100.0
NWAmes,200000.0
OldTown,200000.0
Gilbert,200000.0
SWISU,200000.0
ClearCr,200000.0
CollgCr,200000.0
CollgCr,200000.0
NAmes,200000.0
Gilbert,199900.0
Somerst,199900.0
CollgCr,198900.0
Edwards,198500.0
NWAmes,197900.0
CollgCr,197900.0
NWAmes,197900.0
NWAmes,197500.0
NWAmes,197500.0
Somerst,197000.0
SWISU,197000.0
Somerst,197000.0
NWAmes,197000.0
CollgCr,196500.0
NWAmes,196500.0
Somerst,196000.0
NridgHt,196000.0
Mitchel,196000.0
CollgCr,195400.0
NWAmes,195000.0
CollgCr,195000.0
CollgCr,195000.0
NridgHt,194700.0
SawyerW,194500.0
CollgCr,194500.0
Gilbert,194500.0
Blmngtn,194201.0
CollgCr,194000.0
CollgCr,194000.0
Veenker,194000.0
CollgCr,193879.0
NAmes,193500.0
SawyerW,193500.0
SawyerW,193000.0
CollgCr,193000.0
Gilbert,193000.0
Blmngtn,192500.0
CollgCr,192500.0
Gilbert,192140.0
CollgCr,192000.0
ClearCr,192000.0
Gilbert,192000.0
Blmngtn,192000.0
CollgCr,192000.0
CollgCr,191000.0
CollgCr,191000.0
Blmngtn,191000.0
Crawfor,191000.0
NWAmes,190000.0
NWAmes,190000.0
ClearCr,190000.0
ClearCr,190000.0
NWAmes,190000.0
NAmes,190000.0
NWAmes,190000.0
CollgCr,190000.0
CollgCr,190000.0
Sawyer,190000.0
Gilbert,190000.0
ClearCr,190000.0
NoRidge,190000.0
Crawfor,189950.0
StoneBr,189000.0
CollgCr,189000.0
SawyerW,189000.0
Gilbert,189000.0
SawyerW,189000.0
SWISU,189000.0
Crawfor,188700.0
Gilbert,188500.0
Mitchel,188000.0
CollgCr,188000.0
Gilbert,188000.0
Somerst,187750.0
NWAmes,187500.0
Timber,187500.0
ClearCr,187500.0
Timber,187500.0
StoneBr,187500.0
Gilbert,187500.0
CollgCr,187100.0
SawyerW,187000.0
Veenker,187000.0
NAmes,187000.0
Timber,186700.0
Somerst,186500.0
Gilbert,186500.0
Edwards,186000.0
CollgCr,185900.0
NridgHt,185850.0
NWAmes,185750.0
CollgCr,185500.0
Gilbert,185000.0
Gilbert,185000.0
Gilbert,185000.0
Somerst,185000.0
Edwards,185000.0
ClearCr,185000.0
CollgCr,185000.0
NWAmes,185000.0
NWAmes,185000.0
Somerst,185000.0
SawyerW,184900.0
Edwards,184750.0
Gilbert,184100.0
Timber,184000.0
NAmes,184000.0
BrkSide,184000.0
Gilbert,184000.0
Somerst,183900.0
Gilbert,183500.0
Gilbert,183200.0
CollgCr,183000.0
NWAmes,182900.0
Somerst,182000.0
NAmes,181900.0
Veenker,181500.0
Gilbert,181134.0
NWAmes,181000.0
Gilbert,181000.0
NWAmes,181000.0
Blmngtn,181000.0
Gilbert,181000.0
Gilbert,181000.0
NAmes,181000.0
NAmes,180500.0
Gilbert,180500.0
BrkSide,180500.0
NAmes,180500.0
NAmes,180000.0
Gilbert,180000.0
ClearCr,180000.0
Sawyer,180000.0
CollgCr,180000.0
StoneBr,180000.0
Gilbert,180000.0
NWAmes,180000.0
SawyerW,180000.0
Timber,180000.0
CollgCr,179900.0
NWAmes,179900.0
SawyerW,179900.0
NAmes,179900.0
NWAmes,179900.0
Gilbert,179665.0
CollgCr,179600.0
Gilbert,179540.0
