RoofStyle,SalePrice
Gable,755000.0
Hip,745000.0
Hip,625000.0
Hip,611657.0
Hip,582933.0
Hip,556581.0
Hip,555000.0
Hip,538000.0
Hip,501837.0
Hip,485000.0
Gable,475000.0
Hip,466500.0
Gable,465000.0
Gable,451950.0
Hip,446261.0
Gable,440000.0
Hip,438780.0
Hip,437154.0
Hip,430000.0
Gable,426000.0
Hip,424870.0
Gable,423000.0
Gable,415298.0
Gable,412500.0
Hip,410000.0
Gable,403000.0
Hip,402861.0
Hip,402000.0
Hip,395192.0
Hip,395000.0
Hip,394617.0
Hip,394432.0
Hip,392500.0
Gable,392000.0
Hip,386250.0
Gable,385000.0
Hip,385000.0
Gable,383970.0
Gable,381000.0
Hip,380000.0
Hip,378500.0
Gable,377500.0
Hip,377426.0
Hip,375000.0
Hip,374000.0
Hip,372500.0
Hip,372402.0
Gable,370878.0
Hip,369900.0
Hip,367294.0
Hip,361919.0
Gable,360000.0
Gable,359100.0
Gable,354000.0
Hip,350000.0
Hip,350000.0
Gable,348000.0
Hip,345000.0
Gable,345000.0
Gable,342643.0
Hip,341000.0
Gable,340000.0
Gable,340000.0
Gable,339750.0
Hip,337500.0
Gable,337000.0
Hip,336000.0
Hip,335000.0
Gable,335000.0
Gable,335000.0
Gable,333168.0
Gable,328900.0
Gable,328000.0
Hip,326000.0
Gable,325624.0
Gable,325300.0
Hip,325000.0
Gable,325000.0
Gable,325000.0
Hip,325000.0
Gable,324000.0
Hip,320000.0
Gable,320000.0
Hip,320000.0
Hip,320000.0
Hip,319900.0
Gable,319000.0
Hip,318061.0
Hip,318000.0
Hip,318000.0
Gable,317000.0
Gable,316600.0
Gable,315750.0
Hip,315500.0
Hip,315000.0
Gable,315000.0
Hip,315000.0
Hip,315000.0
Hip,314813.0
Hip,313000.0
Hip,312500.0
Hip,311872.0
Gable,311500.0
Gable,310000.0
Gable,310000.0
Gable,309000.0
Gable,307000.0
Gable,306000.0
Gable,305900.0
Hip,305000.0
Gable,303477.0
Gable,302000.0
Gable,302000.0
Hip,301500.0
Gable,301000.0
Hip,299800.0
Hip,297000.0
Gable,295493.0
Gable,295000.0
Gable,294000.0
Gable,293077.0
Gable,290000.0
Gable,290000.0
Gable,290000.0
Hip,290000.0
Hip,290000.0
Gable,289000.0
Gable,287090.0
Hip,287000.0
Gable,287000.0
Gable,286000.0
Hip,285000.0
Hip,285000.0
Hip,285000.0
Gable,284000.0
Gable,284000.0
Gable,283463.0
Gable,282922.0
Hip,281213.0
Gable,281000.0
Gable,280000.0
Gable,280000.0
Gable,280000.0
Gable,280000.0
Gable,279500.0
Hip,278000.0
Gable,278000.0
Hip,277500.0
Gable,277000.0
Gable,277000.0
Gable,276000.0
Gable,275500.0
Gable,275000.0
Gable,275000.0
Gable,275000.0
Hip,275000.0
Hip,275000.0
Flat,274970.0
Hip,274900.0
Gable,274725.0
Gable,274300.0
Hip,274000.0
Gable,272000.0
Gable,272000.0
Hip,271900.0
Hip,271000.0
Gable,271000.0
Gable,270000.0
Hip,270000.0
Hip,270000.0
Gable,269790.0
Gable,269500.0
Gable,268000.0
Flat,268000.0
Gable,267000.0
Gable,266500.0
Gable,266000.0
Hip,266000.0
Mansard,265979.0
Hip,265900.0
Gable,265000.0
Hip,264561.0
Gable,264132.0
Gable,263435.0
Gable,263000.0
Gable,262500.0
Hip,262500.0
Hip,262280.0
Gable,262000.0
Gable,261500.0
Hip,260400.0
Hip,260000.0
Gable,260000.0
Gable,260000.0
Gable,260000.0
Shed,260000.0
Hip,260000.0
Gambrel,259500.0
Hip,259000.0
Hip,258000.0
Hip,257500.0
Gable,257000.0
Gable,256300.0
Flat,256000.0
Gable,256000.0
Gable,255900.0
Gable,255500.0
Gable,255000.0
Gable,255000.0
Gable,254900.0
Hip,254000.0
Hip,253293.0
Gable,253000.0
Gable,252678.0
Gable,252000.0
Gable,251000.0
Gable,250580.0
Gable,250000.0
Hip,250000.0
Gable,250000.0
Gable,250000.0
Gable,250000.0
Gable,250000.0
Gable,250000.0
Gable,250000.0
Gable,249700.0
Gable,248900.0
Hip,248328.0
Gable,248000.0
Gable,248000.0
Hip,246578.0
Gable,245500.0
Gable,245350.0
Gable,245000.0
Gable,244600.0
Gable,244400.0
Gable,244000.0
Gable,244000.0
Hip,244000.0
Gable,243000.0
Mansard,242000.0
Flat,242000.0
Gable,241500.0
Flat,241500.0
Gable,241000.0
Gable,240000.0
Gable,240000.0
Gable,240000.0
Hip,240000.0
Hip,240000.0
Gable,240000.0
Gable,239900.0
Gable,239799.0
Gable,239686.0
Gable,239500.0
Gable,239000.0
Hip,239000.0
Hip,239000.0
Gable,239000.0
Gable,239000.0
Gable,239000.0
Gable,238000.0
Gable,237500.0
Gable,237000.0
Gable,237000.0
Gable,236500.0
Hip,236500.0
Gable,236000.0
Gable,236000.0
Gable,235128.0
Flat,235000.0
Gable,235000.0
Hip,235000.0
Gable,235000.0
Hip,235000.0
Gable,235000.0
Gable,235000.0
Gambrel,234000.0
Gable,234000.0
Gable,233230.0
Gable,233170.0
Gable,233000.0
Gable,232600.0
Gable,232000.0
Gable,232000.0
Hip,232000.0
Gable,231500.0
Gable,231500.0
Gable,230500.0
Hip,230000.0
Gable,230000.0
Gable,230000.0
Gable,230000.0
Gable,230000.0
Gable,230000.0
Gable,230000.0
Gable,230000.0
Gable,229456.0
Gable,229000.0
Gable,228950.0
Gable,228500.0
Gable,228500.0
Hip,228000.0
Gable,228000.0
Gable,227875.0
Gable,227680.0
Gable,227000.0
Gable,227000.0
Hip,227000.0
Gable,226700.0
Gable,226000.0
Gable,226000.0
Gable,226000.0
Gable,225000.0
Gable,225000.0
Gable,225000.0
Gable,225000.0
Gable,225000.0
Gable,225000.0
Gable,224900.0
Gable,224900.0
Gable,224500.0
Gable,224000.0
Hip,224000.0
Gable,223500.0
Gable,223500.0
Gable,223000.0
Gable,222500.0
Gable,222500.0
Gable,222000.0
Hip,222000.0
Gable,222000.0
Gable,221500.0
Gable,221000.0
Gable,221000.0
Gable,220000.0
Gable,220000.0
Gable,220000.0
Gable,220000.0
Gable,220000.0
Gable,219500.0
Gable,219500.0
Gable,219500.0
Gable,219210.0
Gable,218000.0
Gable,217500.0
Hip,217000.0
Gable,217000.0
Hip,216837.0
Gable,216500.0
Gable,216000.0
Gable,215200.0
Hip,215000.0
Gable,215000.0
Gable,215000.0
Gable,215000.0
Gable,215000.0
Gable,215000.0
Gable,215000.0
Gable,215000.0
Gable,214900.0
Gable,214500.0
Gable,214000.0
Gable,214000.0
Gable,214000.0
Gable,214000.0
Gable,214000.0
Gable,213500.0
Gable,213500.0
Gable,213490.0
Hip,213250.0
Gable,213000.0
Gable,213000.0
Gable,213000.0
Gable,212900.0
Gable,212000.0
Gable,212000.0
Gable,212000.0
Gable,211000.0
Gable,211000.0
Gable,210000.0
Gable,210000.0
Gable,210000.0
Gable,210000.0
Gable,210000.0
Gable,209500.0
Gable,208900.0
Gable,208900.0
Gable,208500.0
Gable,208300.0
Gable,207500.0
Gable,207500.0
Gable,207500.0
Gable,207500.0
Gable,207500.0
Gable,207000.0
Gambrel,207000.0
Gable,206900.0
Gable,206300.0
Gable,206000.0
Gable,205950.0
Gable,205000.0
Gable,205000.0
Gable,205000.0
Gable,205000.0
Gable,205000.0
Hip,205000.0
Gable,204900.0
Gable,204750.0
Gable,204000.0
Hip,204000.0
Hip,203000.0
Gable,203000.0
Gable,202900.0
Gable,202665.0
Gable,202500.0
Gable,202500.0
Gable,202500.0
Gable,201800.0
Gable,201000.0
Gable,201000.0
Gable,201000.0
Hip,200624.0
Gable,200500.0
Gable,200500.0
Gable,200141.0
Gable,200100.0
Gable,200000.0
Gable,200000.0
Gable,200000.0
Hip,200000.0
Gable,200000.0
Gable,200000.0
Gable,200000.0
Gable,200000.0
Gable,199900.0
Gable,199900.0
Gable,198900.0
Gable,198500.0
Gable,197900.0
Gable,197900.0
Gable,197900.0
Hip,197500.0
Gable,197500.0
Gable,197000.0
Gable,197000.0
Gable,197000.0
Hip,197000.0
Gable,196500.0
Gable,196500.0
Gable,196000.0
Gable,196000.0
Gable,196000.0
Gable,195400.0
Gable,195000.0
Gable,195000.0
Gable,195000.0
Gable,194700.0
Gable,194500.0
Gable,194500.0
Gable,194500.0
Gable,194201.0
Gable,194000.0
Gable,194000.0
Gable,194000.0
Gable,193879.0
Gable,193500.0
Gable,193500.0
Gable,193000.0
Gable,193000.0
Gable,193000.0
Gable,192500.0
Gable,192500.0
Gable,192140.0
Gable,192000.0
Hip,192000.0
Gable,192000.0
Gable,192000.0
Gable,192000.0
Gable,191000.0
Gable,191000.0
Gable,191000.0
Gable,191000.0
Hip,190000.0
Gable,190000.0
Hip,190000.0
Gable,190000.0
Gable,190000.0
Gable,190000.0
Mansard,190000.0
Gable,190000.0
Gable,190000.0
Shed,190000.0
Gable,190000.0
Gable,190000.0
Gable,190000.0
Gable,189950.0
Gable,189000.0
Gable,189000.0
Gable,189000.0
Gable,189000.0
Gable,189000.0
Gable,189000.0
Hip,188700.0
Gable,188500.0
Gable,188000.0
Gable,188000.0
Gable,188000.0
Gable,187750.0
Gable,187500.0
Gable,187500.0
Gable,187500.0
Gable,187500.0
Gable,187500.0
Gable,187500.0
Gable,187100.0
Gable,187000.0
Hip,187000.0
Hip,187000.0
Hip,186700.0
Gable,186500.0
Gable,186500.0
Gable,186000.0
Gable,185900.0
Gable,185850.0
Hip,185750.0
Gable,185500.0
Gable,185000.0
Gable,185000.0
Gable,185000.0
Gable,185000.0
Gable,185000.0
Flat,185000.0
Gable,185000.0
Hip,185000.0
Hip,185000.0
Gable,185000.0
Gable,184900.0
Hip,184750.0
Hip,184100.0
Gable,184000.0
Gable,184000.0
Gable,184000.0
Gable,184000.0
Hip,183900.0
Gable,183500.0
Gable,183200.0
Gable,183000.0
Gable,182900.0
Gable,182000.0
Gable,181900.0
Gable,181500.0
Gable,181134.0
Gable,181000.0
Gable,181000.0
Hip,181000.0
Gable,181000.0
Gable,181000.0
Gable,181000.0
Gable,181000.0
Gable,180500.0
Gable,180500.0
Gambrel,180500.0
Hip,180500.0
Gable,180000.0
Gable,180000.0
Flat,180000.0
Gable,180000.0
Gable,180000.0
Gable,180000.0
Gable,180000.0
Gable,180000.0
Gable,180000.0
Hip,180000.0
Gable,179900.0
Gable,179900.0
Hip,179900.0
Gable,179900.0
Gable,179900.0
Gable,179665.0
Gable,179600.0
Hip,179540.0
Gable,179500.0
Gable,179400.0
Gable,179200.0
Gable,179200.0
Gable,179000.0
Gable,179000.0
Gable,179000.0
Gable,178900.0
Hip,178740.0
Gable,178400.0
Gable,178000.0
Gable,178000.0
Gable,178000.0
Gable,178000.0
Gable,178000.0
Gable,178000.0
