SaleCondition,SalePrice
Normal,755000.0
Abnorml,745000.0
Normal,625000.0
Partial,611657.0
Partial,582933.0
Partial,556581.0
Normal,555000.0
Normal,538000.0
Partial,501837.0
Partial,485000.0
Normal,475000.0
Normal,466500.0
Partial,465000.0
Normal,451950.0
Partial,446261.0
Partial,440000.0
Partial,438780.0
Partial,437154.0
Normal,430000.0
Partial,426000.0
Partial,424870.0
Partial,423000.0
Partial,415298.0
Normal,412500.0
Normal,410000.0
Normal,403000.0
Partial,402861.0
Normal,402000.0
Partial,395192.0
Partial,395000.0
Partial,394617.0
Partial,394432.0
Partial,392500.0
Partial,392000.0
Normal,386250.0
Normal,385000.0
Partial,385000.0
Partial,383970.0
Normal,381000.0
Normal,380000.0
Normal,378500.0
Normal,377500.0
Normal,377426.0
Normal,375000.0
Normal,374000.0
Partial,372500.0
Partial,372402.0
Partial,370878.0
Partial,369900.0
Partial,367294.0
Partial,361919.0
Normal,360000.0
Alloca,359100.0
Normal,354000.0
Normal,350000.0
Normal,350000.0
Normal,348000.0
Partial,345000.0
Normal,345000.0
Partial,342643.0
Normal,341000.0
Normal,340000.0
Normal,340000.0
Partial,339750.0
Normal,337500.0
Normal,337000.0
Normal,336000.0
Normal,335000.0
Normal,335000.0
Normal,335000.0
Normal,333168.0
Abnorml,328900.0
Normal,328000.0
Normal,326000.0
Partial,325624.0
Partial,325300.0
Normal,325000.0
Normal,325000.0
Normal,325000.0
Normal,325000.0
Normal,324000.0
Normal,320000.0
Partial,320000.0
Normal,320000.0
Normal,320000.0
Normal,319900.0
Partial,319000.0
Partial,318061.0
Partial,318000.0
Partial,318000.0
Normal,317000.0
Normal,316600.0
Normal,315750.0
Normal,315500.0
Normal,315000.0
Normal,315000.0
Normal,315000.0
Normal,315000.0
Partial,314813.0
Normal,313000.0
Normal,312500.0
Partial,311872.0
Normal,311500.0
Abnorml,310000.0
Normal,310000.0
Normal,309000.0
Normal,307000.0
Normal,306000.0
Normal,305900.0
Normal,305000.0
Partial,303477.0
Normal,302000.0
Normal,302000.0
Normal,301500.0
Normal,301000.0
Normal,299800.0
Normal,297000.0
Normal,295493.0
Normal,295000.0
Normal,294000.0
Partial,293077.0
Abnorml,290000.0
Normal,290000.0
Normal,290000.0
Partial,290000.0
Normal,290000.0
Normal,289000.0
Partial,287090.0
Abnorml,287000.0
Normal,287000.0
Normal,286000.0
Normal,285000.0
Normal,285000.0
Normal,285000.0
Normal,284000.0
Normal,284000.0
Partial,283463.0
Normal,282922.0
Normal,281213.0
Partial,281000.0
Normal,280000.0
Partial,280000.0
Normal,280000.0
Normal,280000.0
Partial,279500.0
Normal,278000.0
Normal,278000.0
Normal,277500.0
Normal,277000.0
Normal,277000.0
Partial,276000.0
Normal,275500.0
Normal,275000.0
Normal,275000.0
Normal,275000.0
Normal,275000.0
Normal,275000.0
Alloca,274970.0
Normal,274900.0
Partial,274725.0
Normal,274300.0
Normal,274000.0
Normal,272000.0
Normal,272000.0
Normal,271900.0
Normal,271000.0
Normal,271000.0
Normal,270000.0
Normal,270000.0
Normal,270000.0
Normal,269790.0
Partial,269500.0
Normal,268000.0
Normal,268000.0
Normal,267000.0
Normal,266500.0
Partial,266000.0
Normal,266000.0
Normal,265979.0
Normal,265900.0
Normal,265000.0
Partial,264561.0
Partial,264132.0
Partial,263435.0
Normal,263000.0
Normal,262500.0
Normal,262500.0
Normal,262280.0
Normal,262000.0
Normal,261500.0
Normal,260400.0
Normal,260000.0
Normal,260000.0
Normal,260000.0
Normal,260000.0
Normal,260000.0
Normal,260000.0
Normal,259500.0
Family,259000.0
Abnorml,258000.0
Normal,257500.0
Abnorml,257000.0
Normal,256300.0
Normal,256000.0
Normal,256000.0
Normal,255900.0
Normal,255500.0
Normal,255000.0
Normal,255000.0
Normal,254900.0
Normal,254000.0
Partial,253293.0
Normal,253000.0
Partial,252678.0
Normal,252000.0
Normal,251000.0
Partial,250580.0
Normal,250000.0
Normal,250000.0
Normal,250000.0
Normal,250000.0
Normal,250000.0
Normal,250000.0
Normal,250000.0
Normal,250000.0
Normal,249700.0
Partial,248900.0
Partial,248328.0
Normal,248000.0
Normal,248000.0
Partial,246578.0
Normal,245500.0
Normal,245350.0
Normal,245000.0
Partial,244600.0
Normal,244400.0
