TotalBsmtSF,SalePrice
2444,755000.0
2396,745000.0
1930,625000.0
2330,611657.0
1734,582933.0
1992,556581.0
3094,555000.0
1650,538000.0
2216,501837.0
1926,485000.0
1107,475000.0
2633,466500.0
2076,465000.0
1722,451950.0
1452,446261.0
1976,440000.0
1410,438780.0
1848,437154.0
3200,430000.0
1682,426000.0
1466,424870.0
2077,423000.0
2121,415298.0
1572,412500.0
2033,410000.0
1462,403000.0
2006,402861.0
1629,402000.0
1930,395192.0
1935,395000.0
1932,394617.0
1856,394432.0
1600,392500.0
1419,392000.0
2392,386250.0
1842,385000.0
2078,385000.0
1264,383970.0
728,381000.0
2153,380000.0
2002,378500.0
1746,377500.0
1922,377426.0
2136,375000.0
1792,374000.0
2046,372500.0
1710,372402.0
1766,370878.0
1868,369900.0
1702,367294.0
1234,361919.0
1896,360000.0
965,359100.0
1136,354000.0
2109,350000.0
1462,350000.0
1396,348000.0
1175,345000.0
1952,345000.0
1249,342643.0
1311,341000.0
1580,340000.0
1284,340000.0
1034,339750.0
1700,337500.0
1252,337000.0
1225,336000.0
1210,335000.0
1104,335000.0
1902,335000.0
1393,333168.0
1698,328900.0
1306,328000.0
1833,326000.0
1582,325624.0
1158,325300.0
1122,325000.0
1237,325000.0
1463,325000.0
1652,325000.0
1719,324000.0
1673,320000.0
1392,320000.0
1698,320000.0
1905,320000.0
1752,319900.0
1814,319000.0
1869,318061.0
1694,318000.0
1734,318000.0
1143,317000.0
1496,316600.0
1379,315750.0
1620,315500.0
853,315000.0
1470,315000.0
1838,315000.0
1980,315000.0
1822,314813.0
1440,313000.0
1800,312500.0
1726,311872.0
798,311500.0
1338,310000.0
1017,310000.0
1117,309000.0
1686,307000.0
1704,306000.0
2000,305900.0
1482,305000.0
1184,303477.0
1643,302000.0
1453,302000.0
1986,301500.0
1502,301000.0
1142,299800.0
1705,297000.0
1622,295493.0
1470,295000.0
1192,294000.0
1638,293077.0
1203,290000.0
1152,290000.0
1318,290000.0
1660,290000.0
1165,290000.0
1501,289000.0
1573,287090.0
1565,287000.0
1055,287000.0
1593,286000.0
1626,285000.0
1181,285000.0
1683,285000.0
3206,284000.0
998,284000.0
1732,283463.0
1485,282922.0
1094,281213.0
1085,281000.0
1086,280000.0
1063,280000.0
1533,280000.0
1836,280000.0
1494,279500.0
2524,278000.0
1501,278000.0
1561,277500.0
1157,277000.0
1444,277000.0
1482,276000.0
1030,275500.0
1518,275000.0
1058,275000.0
1742,275000.0
1753,275000.0
1594,275000.0
697,274970.0
1713,274900.0
868,274725.0
1108,274300.0
1518,274000.0
1581,272000.0
1330,272000.0
2158,271900.0
1568,271000.0
1223,271000.0
1088,270000.0
1494,270000.0
1616,270000.0
1117,269790.0
774,269500.0
1095,268000.0
2217,268000.0
1028,267000.0
1152,266500.0
1095,266000.0
1684,266000.0
1240,265979.0
1476,265900.0
1264,265000.0
1520,264561.0
1498,264132.0
832,263435.0
912,263000.0
1566,262500.0
1568,262500.0
1475,262280.0
1624,262000.0
1299,261500.0
1720,260400.0
1288,260000.0
1734,260000.0
845,260000.0
1347,260000.0
1332,260000.0
1530,260000.0
1028,259500.0
1530,259000.0
1141,258000.0
1477,257500.0
1844,257000.0
1566,256300.0
1364,256000.0
1510,256000.0
1128,255900.0
1709,255500.0
1623,255000.0
1065,255000.0
991,254900.0
1324,254000.0
2042,253293.0
1113,253000.0
900,252678.0
1082,252000.0
1494,251000.0
1372,250580.0
1145,250000.0
1053,250000.0
1626,250000.0
1054,250000.0
1017,250000.0
1216,250000.0
1026,250000.0
1392,250000.0
1656,249700.0
1638,248900.0
1689,248328.0
969,248000.0
973,248000.0
1356,246578.0
1260,245500.0
1694,245350.0
1563,245000.0
1468,244600.0
1032,244400.0
2223,244000.0
992,244000.0
2110,244000.0
1202,243000.0
710,242000.0
585,242000.0
1845,241500.0
1385,241500.0
1092,241000.0
1580,240000.0
1522,240000.0
907,240000.0
1670,240000.0
1710,240000.0
1220,240000.0
893,239900.0
1391,239799.0
1434,239686.0
1128,239500.0
1064,239000.0
975,239000.0
1370,239000.0
1800,239000.0
952,239000.0
1571,239000.0
1104,238000.0
1205,237500.0
941,237000.0
1128,237000.0
1595,236500.0
1753,236500.0
952,236000.0
1050,236000.0
1580,235128.0
1602,235000.0
1360,235000.0
1573,235000.0
795,235000.0
1127,235000.0
992,235000.0
1525,235000.0
1276,234000.0
1374,234000.0
1079,233230.0
1502,233170.0
956,233000.0
1489,232600.0
1574,232000.0
1616,232000.0
1657,232000.0
928,231500.0
963,231500.0
1406,230500.0
1777,230000.0
1004,230000.0
975,230000.0
1654,230000.0
1073,230000.0
1314,230000.0
792,230000.0
944,230000.0
1300,229456.0
1204,229000.0
1499,228950.0
807,228500.0
1284,228500.0
1686,228000.0
1080,228000.0
874,227875.0
1417,227680.0
810,227000.0
1573,227000.0
1588,227000.0
866,226700.0
1453,226000.0
924,226000.0
1057,226000.0
1304,225000.0
700,225000.0
896,225000.0
1496,225000.0
847,225000.0
978,225000.0
1649,224900.0
884,224900.0
846,224500.0
1358,224000.0
1296,224000.0
920,223500.0
1324,223500.0
1844,223000.0
884,222500.0
1153,222500.0
1470,222000.0
880,222000.0
964,222000.0
1614,221500.0
1494,221000.0
1195,221000.0
1267,220000.0
1541,220000.0
1604,220000.0
908,220000.0
854,220000.0
1057,219500.0
847,219500.0
800,219500.0
879,219210.0
1437,218000.0
1430,217500.0
1809,217000.0
1479,217000.0
1860,216837.0
860,216500.0
814,216000.0
756,215200.0
1080,215000.0
804,215000.0
1602,215000.0
777,215000.0
1273,215000.0
847,215000.0
1482,215000.0
791,215000.0
817,214900.0
844,214500.0
1588,214000.0
1536,214000.0
1517,214000.0
992,214000.0
894,214000.0
939,213500.0
1338,213500.0
1362,213490.0
1650,213250.0
1473,213000.0
740,213000.0
1630,213000.0
1552,212900.0
799,212000.0
1488,212000.0
866,212000.0
1151,211000.0
794,211000.0
1436,210000.0
915,210000.0
768,210000.0
1065,210000.0
1542,210000.0
1554,209500.0
1478,208900.0
1352,208900.0
856,208500.0
1218,208300.0
1484,207500.0
864,207500.0
1314,207500.0
1190,207500.0
1686,207500.0
1358,207000.0
