YearRemodAdd,SalePrice
1995,755000.0
1996,745000.0
1996,625000.0
2010,611657.0
2009,582933.0
2006,556581.0
2008,555000.0
2003,538000.0
2009,501837.0
2009,485000.0
1993,475000.0
2002,466500.0
2006,465000.0
2008,451950.0
2008,446261.0
2007,440000.0
2006,438780.0
2006,437154.0
1993,430000.0
2008,426000.0
2007,424870.0
2006,423000.0
2007,415298.0
2004,412500.0
1996,410000.0
1996,403000.0
2009,402861.0
2005,402000.0
2010,395192.0
2006,395000.0
2008,394617.0
2010,394432.0
2008,392500.0
2007,392000.0
2003,386250.0
1987,385000.0
2008,385000.0
2007,383970.0
1997,381000.0
2006,380000.0
2009,378500.0
2007,377500.0
2006,377426.0
1965,375000.0
2004,374000.0
2008,372500.0
2008,372402.0
2009,370878.0
2006,369900.0
2008,367294.0
2006,361919.0
2004,360000.0
1998,359100.0
2004,354000.0
1995,350000.0
2005,350000.0
1998,348000.0
2006,345000.0
1995,345000.0
2006,342643.0
1994,341000.0
2005,340000.0
1998,340000.0
2008,339750.0
2007,337500.0
1999,337000.0
1999,336000.0
1990,335000.0
2008,335000.0
2002,335000.0
1999,333168.0
2000,328900.0
1997,328000.0
2005,326000.0
2007,325624.0
2006,325300.0
2007,325000.0
2000,325000.0
1995,325000.0
2007,325000.0
1993,324000.0
1990,320000.0
2006,320000.0
2008,320000.0
2006,320000.0
2005,319900.0
2006,319000.0
2007,318061.0
2007,318000.0
2007,318000.0
2005,317000.0
2009,316600.0
1997,315750.0
2008,315500.0
1994,315000.0
1998,315000.0
2006,315000.0
2005,315000.0
2007,314813.0
2000,313000.0
2002,312500.0
2007,311872.0
2006,311500.0
1993,310000.0
2008,310000.0
2005,309000.0
2005,307000.0
2008,306000.0
2005,305900.0
2003,305000.0
2007,303477.0
2002,302000.0
1990,302000.0
1994,301500.0
1987,301000.0
1996,299800.0
2008,297000.0
2008,295493.0
2002,295000.0
2003,294000.0
2008,293077.0
1995,290000.0
2007,290000.0
1995,290000.0
2006,290000.0
1994,290000.0
1997,289000.0
2009,287090.0
1976,287000.0
2002,287000.0
2002,286000.0
2002,285000.0
2004,285000.0
2000,285000.0
2004,284000.0
2004,284000.0
2007,283463.0
2007,282922.0
2006,281213.0
2006,281000.0
1998,280000.0
2006,280000.0
1975,280000.0
2005,280000.0
2007,279500.0
1981,278000.0
2000,278000.0
2005,277500.0
1989,277000.0
2006,277000.0
2007,276000.0
2005,275500.0
1989,275000.0
2005,275000.0
1985,275000.0
2002,275000.0
2005,275000.0
1966,274970.0
2005,274900.0
2006,274725.0
1998,274300.0
2004,274000.0
2002,272000.0
1995,272000.0
1991,271900.0
2002,271000.0
1994,271000.0
2006,270000.0
1996,270000.0
2003,270000.0
1997,269790.0
2010,269500.0
2000,268000.0
1970,268000.0
1999,267000.0
2006,266500.0
2006,266000.0
2005,266000.0
2003,265979.0
2006,265900.0
1997,265000.0
2006,264561.0
2008,264132.0
2009,263435.0
2004,263000.0
2008,262500.0
2003,262500.0
1990,262280.0
1995,262000.0
2001,261500.0
1996,260400.0
1992,260000.0
2005,260000.0
1980,260000.0
1993,260000.0
1979,260000.0
2005,260000.0
2002,259500.0
2004,259000.0
1998,258000.0
2004,257500.0
2006,257000.0
2007,256300.0
1994,256000.0
1950,256000.0
2002,255900.0
2006,255500.0
2006,255000.0
2002,255000.0
2005,254900.0
2006,254000.0
2009,253293.0
2005,253000.0
2009,252678.0
2006,252000.0
2000,251000.0
2008,250580.0
2000,250000.0
2004,250000.0
2006,250000.0
1984,250000.0
1987,250000.0
1991,250000.0
2005,250000.0
1978,250000.0
2006,249700.0
2007,248900.0
2007,248328.0
2000,248000.0
1994,248000.0
2006,246578.0
1996,245500.0
2008,245350.0
2007,245000.0
2009,244600.0
1950,244400.0
1973,244000.0
2000,244000.0
1968,244000.0
2001,243000.0
2007,242000.0
2007,242000.0
1988,241500.0
2005,241500.0
2007,241000.0
1992,240000.0
1997,240000.0
1997,240000.0
2006,240000.0
2005,240000.0
1996,240000.0
2005,239900.0
2006,239799.0
2003,239686.0
1995,239500.0
1987,239000.0
1998,239000.0
1950,239000.0
2007,239000.0
1950,239000.0
2007,239000.0
1991,238000.0
1970,237500.0
2003,237000.0
2002,237000.0
1996,236500.0
2001,236500.0
2000,236000.0
1994,236000.0
2008,235128.0
1975,235000.0
1990,235000.0
2007,235000.0
1994,235000.0
1986,235000.0
2000,235000.0
